month,year,mpaa,budget,runtime,screens,domestic_box_office,critic_vote,meta_score,country,sequel,Factor1,Factor2,Factor3,Factor4,Factor5,Factor6,Factor7,Factor8
3.0,2016.0,3,15000000.0,103.0,3427.0,72082999.0,358.0,88.32,193,0.0,-0.2953605301633483,-0.23777011780704702,2.4734941565799873,-0.3379296638895317,-0.7305448660105612,-0.13012054569719128,0.7591271990652395,-0.18684384621457426
3.0,2008.0,3,105000000.0,109.0,3454.0,94784201.0,29.0,34.0,231,0.0,0.44576855336712806,1.1876421922099156,-0.2937527271402539,2.7181929351923526,-0.45355004522676323,0.15734333459024327,0.12594755818531925,-0.2628476292873247
11.0,2000.0,0,85000000.0,100.0,2704.0,66957026.0,114.0,31.05,193,0.0,1.5462628598253667,-0.18048556549212208,-0.5020609360847946,-0.4494904097613627,-0.20918623911330828,0.06803176714437578,-0.5375419148838863,-0.3067420306576534
3.0,2009.0,3,20000000.0,108.0,2331.0,12234694.0,85.0,32.07,193,0.0,-0.5847346929821821,0.9113101943097043,0.25022658734098996,-0.18459609582527772,1.8905617653103883,-0.3313321638649005,-0.4927726482170641,-0.1048075823499191
1.0,2018.0,4,35000000.0,130.0,3018.0,45819713.0,216.0,50.8,193,0.0,-0.37575259454973564,0.44898698250941865,-0.3408190281934478,3.862171546579,-0.23569618235862239,-0.24798293485902162,-0.6423062561706373,-0.42475561556469926
10.0,2013.0,4,20000000.0,134.0,1474.0,56671993.0,436.0,95.13,193,0.0,-0.25441585378126197,-0.5435216074702073,0.08995246909950803,2.621005543943174,-0.2831190954290056,1.9854583597048092,-0.7837055448540543,0.004491303308696018
11.0,2010.0,4,18000000.0,94.0,916.0,18335230.0,277.0,91.49,193,0.0,-0.44439002774604197,-0.2686660123128035,-0.010650960335605092,0.4152443609302549,-0.3037826287794825,1.7992739960429314,0.2948176691653459,0.3601107161275832
4.0,2004.0,3,37000000.0,98.0,3453.0,57231747.0,213.0,63.69,193,0.0,-0.19442135686625078,-0.6821846369168192,-0.8043309276347926,-0.5226203913781713,-0.6961217210028421,-0.7230231287873029,-0.5291817826729259,-0.37142219293667733
1.0,2016.0,4,50000000.0,144.0,2917.0,52853219.0,260.0,50.58,193,0.0,-0.3924285251065539,0.5157255090910547,0.2972871482669823,3.8848459488063862,0.12767868047732048,-0.5550072741910763,-0.4253598888056601,-0.4769324748156084
6.0,2007.0,3,25000000.0,104.0,2733.0,71985628.0,204.0,77.88,193,0.0,0.044986027356735896,-0.46153511047369455,1.9304748348439396,-0.5922295332685954,-1.072346984508313,-0.18222395282510512,-0.8365253896865543,-0.27269713249025507
3.0,2001.0,4,60000000.0,120.0,2337.0,24403552.0,155.0,32.41,123,0.0,-0.5765975555652832,0.6725472802054738,0.20790229063055488,0.22595820543295944,1.936123865804793,-0.16453694937642352,0.9220717281620816,0.04107923677860034
3.0,2006.0,3,45000000.0,105.0,2706.0,36895141.0,195.0,56.39,193,0.0,-0.6167083636944859,0.9120798462844913,0.24256594355934738,0.3716410817596674,0.1868723030197358,-0.13930342208979493,0.9850422296459255,0.05740580281527092
