movie_name,month,year,critic_vote_metacritic,meta_score_metacritic,critic_vote_rotten,meta_score_rotten,critic_vote,meta_score
The Dilemma,1,2011,32,46,163,24,195,27.61
The Disappointments Room,9,2016,7,31,27,0,34,6.38
The Disaster Artist,12,2017,44,76,351,91,395,89.33
The Divergent Series: Insurgent,3,2015,40,42,207,28,247,30.27
The Door in the Floor,7,2004,38,67,142,68,180,67.79
The Dreamers,2,2004,,,,,0,0
The Dressmaker,9,2016,,,,,0,0
The Drop,9,2014,36,69,203,89,239,85.99
The Duchess,9,2008,34,62,171,63,205,62.83
The Dukes of Hazzard,8,2005,36,33,170,14,206,17.32
The Eagle,2,2011,35,55,160,39,195,41.87
The Eclipse,3,2010,38,58,,,38,58.00
The Edge of Seventeen,12,2016,38,77,222,94,260,91.52
The Emoji Movie,7,2017,26,12,133,6,159,6.98
The Emperor's Club,11,2002,32,49,128,50,160,49.80
The Emperor's New Groove,12,2000,28,70,135,86,163,83.25
The Equalizer,9,2014,41,57,206,61,247,60.34
The Equalizer 2,7,2018,43,50,213,52,256,51.66
The Exorcism of Emily Rose,9,2005,32,46,157,45,189,45.17
The Exorcist: Believer,10,2023,54,39,251,22,305,25.01
The Expendables,8,2010,35,45,211,42,246,42.43
The Expendables 2,8,2012,28,51,135,67,163,64.25
The Expendables 3,8,2014,36,35,177,32,213,32.51
The Express,10,2008,27,58,122,62,149,61.28
The Eye,2,2008,13,36,77,22,90,24.02
The Family,9,2013,32,42,,,32,42.00
The Family Man,12,2000,28,42,130,53,158,51.05
The Family Stone,12,2005,35,56,160,52,195,52.72
The Farewell,7,2019,47,89,349,97,396,96.05
The Fast and the Furious,6,2001,34,58,160,54,194,54.70
The Fast and the Furious: Tokyo Drift,6,2006,32,45,142,37,174,38.47
The Fate of the Furious,4,2017,45,56,313,67,358,65.62
The Fault in Our Stars,6,2014,45,69,226,81,271,79.01
The Favourite,11,2018,53,91,428,93,481,92.78
The Fifth Estate,10,2013,42,49,179,36,221,38.47
The Fighter,12,2010,41,79,255,91,296,89.34
The Fighting Temptations,9,2003,32,53,111,42,143,44.46
The Final Destination,8,2009,14,30,99,27,113,27.37
The Finest Hours,1,2016,39,58,200,64,239,63.02
The First Purge,7,2018,39,54,175,56,214,55.64
The Five-Year Engagement,4,2012,38,62,179,64,217,63.65
The Flash,6,2023,55,55,387,63,442,62.00
The Flintstones in Viva Rock Vegas,4,2000,26,27,72,25,98,25.53
The Florida Project,10,2017,44,92,317,96,361,95.51
The Fog,10,2005,16,27,69,4,85,8.33
The Forbidden Kingdom,4,2008,27,57,129,63,156,61.96
The Foreigner,10,2017,23,55,125,66,148,64.29
The Forest,1,2016,30,34,138,10,168,14.29
The Forgotten,9,2004,34,43,,,34,43.00
The Forsaken,4,2001,12,35,56,7,68,11.94
The Founder,1,2017,,,,,0,0
The Fountain,11,2006,36,51,206,53,242,52.70
The Four Feathers,9,2002,32,49,150,42,182,43.23
The Fourth Kind,11,2009,27,34,115,18,142,21.04
The Future,7,2011,28,67,,,28,67.00
The Gallows,7,2015,22,30,117,15,139,17.37
The Gambler,12,2014,40,55,143,43,183,45.62
The Game Plan,9,2007,23,44,104,30,127,32.54
The Game of Their Lives,4,2005,13,47,35,26,48,31.69
The Gentlemen,12,2019,44,51,278,75,322,71.72
The Ghost Writer,2,2010,35,77,210,84,245,83.00
The Gift,12,2000,29,62,,,29,62.00
The Girl Next Door,4,2004,32,47,160,56,192,54.50
The Girl on the Train,1,2010,,,,,0,0
The Girl with the Dragon Tattoo,3,2010,,,,,0,0
The Giver,8,2014,33,47,170,35,203,36.95
The Glass House,9,2001,17,34,87,22,104,23.96
The Golden Compass,12,2007,33,51,196,42,229,43.30
The Goldfinch,9,2019,41,40,228,25,269,27.29
The Good Dinosaur,11,2015,37,66,219,75,256,73.70
The Good German,12,2006,34,49,153,34,187,36.73
The Good Girl,8,2002,35,71,159,82,194,80.02
The Good Guy,2,2010,35,64,,,35,64.00
The Good Liar,11,2019,31,55,165,64,196,62.58
The Good Shepherd,12,2006,33,61,173,56,206,56.80
The Good Thief,4,2003,,,,,0,0
The Good the Bad the Weird,4,2010,,,,,0,0
The Goods: Live Hard Sell Hard,8,2009,23,39,,,23,39.00
"The Goods: Live Hard, Sell Hard",8,2009,23,39,,,23,39.00
The Gospel,10,2005,14,46,,,14,46.00
The Gospel of John,9,2003,14,52,49,37,63,40.33
The Grand Budapest Hotel,3,2014,48,88,318,92,366,91.48
The Great Debaters,12,2007,32,65,134,80,166,77.11
The Great Gatsby,5,2013,45,55,306,48,351,48.90
The Great New Wonderful,6,2006,,,,,0,0
The Great Raid,8,2005,29,48,120,38,149,39.95
The Great Wall,2,2017,,,,,0,0
The Greatest,4,2010,,,,,0,0
The Greatest Game Ever Played,9,2005,28,55,112,63,140,61.40
The Greatest Movie Ever Sold,4,2011,34,66,,,34,66.00
The Greatest Showman,12,2017,43,48,265,57,308,55.74
The Green Hornet,1,2011,39,39,240,45,279,44.16
The Green Inferno,9,2015,,,,,0,0
The Grey,1,2012,,,211,80,211,80.00
The Grinch,11,2018,32,51,,,32,51.00
The Grudge,10,2004,32,49,164,41,196,42.31
The Grudge 2,10,2006,16,33,78,12,94,15.57
The Guard,7,2011,29,78,139,94,168,91.24
The Guardian,9,2006,29,53,150,37,179,39.59
The Guilt Trip,12,2012,29,50,127,37,156,39.42
The Gunman,3,2015,41,39,181,15,222,19.43
