movie_name,month,year,critic_vote_metacritic,meta_score_metacritic,critic_vote_rotten,meta_score_rotten,critic_vote,meta_score
Chappie,3,2015,39,41,226,32,265,33.32
Charlie Bartlett,2,2008,,,,,0,0
Charlie St. Cloud,7,2010,30,37,126,28,156,29.73
Charlie Wilson's War,12,2007,39,67,207,82,246,79.62
Charlie and the Chocolate Factory,7,2005,40,72,230,83,270,81.37
Charlie's Angels,11,2000,34,52,146,68,180,64.98
Charlie's Angels: Full Throttle,6,2003,39,48,186,41,225,42.21
Charlotte's Web,12,2006,28,68,148,79,176,77.25
Chasing Liberty,1,2004,32,46,117,18,149,24.01
Chasing Mavericks,10,2012,27,45,82,33,109,35.97
Chasing Papi,4,2003,23,33,49,14,72,20.07
Cheaper by the Dozen,12,2003,30,46,121,24,151,28.37
Cheaper by the Dozen 2,12,2005,24,34,93,6,117,11.74
Chernobyl Diaries,5,2012,17,32,92,17,109,19.34
Chicago,12,2002,39,81,264,86,303,85.36
Chicken Little,11,2005,32,48,164,37,196,38.80
Chicken Run,6,2000,34,88,174,97,208,95.53
Child 44,4,2015,25,41,84,29,109,31.75
Child's Play,6,2019,35,48,208,63,243,60.84
Children of Men,12,2006,38,84,256,92,294,90.97
Chloe,3,2010,,,,,0,0
Chocolat,12,2000,31,64,119,63,150,63.21
Christmas with the Kranks,11,2004,33,22,,,33,22.00
Christopher Robin,8,2018,43,60,276,72,319,70.38
Chronicle,2,2012,31,69,186,85,217,82.71
Church Ball,3,2006,33,66,12,17,45,52.93
Churchill,6,2017,25,44,116,49,141,48.11
Ch�ri,6,2009,27,63,,,27,63.00
Cinderella,3,2015,47,67,258,84,305,81.38
Cinderella Man,6,2005,40,69,210,80,250,78.24
Circumstance,8,2011,24,65,79,86,103,81.11
Cirque du Freak: The Vampire's Assistant,10,2009,25,43,139,37,164,37.91
Cirque du Soleil: Worlds Away,12,2012,16,51,47,45,63,46.52
City Island,3,2010,,,,,0,0
City by the Sea,9,2002,34,50,144,48,178,48.38
City of Ember,10,2008,27,58,131,53,158,53.85
City of Life and Death,5,2011,41,85,,,41,85.00
Civil War,4,2024,64,75,349,81,413,80.07
Clash of the Titans,4,2010,37,39,266,27,303,28.47
Clerks II,7,2006,29,65,167,63,196,63.30
Click,6,2006,35,45,172,34,207,35.86
Clockstoppers,3,2002,24,40,86,29,110,31.40
Close Your Eyes,4,2004,,,,,0,0
Closer,12,2004,42,65,210,68,252,67.50
Cloud Atlas,10,2012,45,55,291,66,336,64.53
Cloudy with a Chance of Meatballs,9,2009,24,66,,,24,66.00
Cloudy with a Chance of Meatballs 2,9,2013,31,59,,,31,59.00
Cloverfield,1,2008,37,64,217,78,254,75.96
Club Dread,2,2004,28,45,,,28,45.00
Coach Carter,1,2005,36,57,149,64,185,62.64
Coco,11,2017,48,81,358,97,406,95.11
Coco Before Chanel,9,2009,30,65,134,63,164,63.37
Code Name: The Cleaner,1,2007,18,33,83,4,101,9.17
Cold Mountain,12,2003,41,73,231,70,272,70.45
Cold Pursuit,2,2019,39,57,188,68,227,66.11
Collateral,8,2004,41,71,239,86,280,83.80
Collateral Beauty,12,2016,40,23,186,13,226,14.77
Collateral Damage,2,2002,34,33,142,19,176,21.70
College,8,2008,11,15,43,5,54,7.04
Collide,2,2017,,,,,0,0
Colombiana,8,2011,22,45,106,27,128,30.09
Comic-Con Episode IV: A Fan's Hope,4,2012,,,,,0,0
Compadres,4,2016,5,28,15,40,20,37.00
Company Man,3,2001,,,,,0,0
Conan the Barbarian,8,2011,29,36,154,25,183,26.74
Concussion,10,2013,19,56,58,78,77,72.57
Confessions of a Dangerous Mind,12,2002,33,67,165,80,198,77.83
Confessions of a Teenage Drama Queen,2,2004,23,33,94,14,117,17.74
Confidence,4,2003,35,59,156,69,191,67.17
Connie and Carla,4,2004,30,44,120,44,150,44.00
Constantine,2,2005,41,50,227,46,268,46.61
Contagion,9,2011,38,70,283,85,321,83.22
Contraband,1,2012,38,51,165,51,203,51.00
Control,4,2005,,,,,0,0
Conversations with Other Women,8,2006,,,,,0,0
Conviction,10,2010,32,61,192,68,224,67.00
Cop Out,2,2010,35,31,163,18,198,20.30
Copying Beethoven,11,2006,20,59,81,28,101,34.14
Coraline,2,2009,38,80,272,91,310,89.65
Corky Romano,10,2001,23,20,84,7,107,9.79
Corpse Bride,9,2005,35,83,,,35,83.00
Countdown,10,2019,16,31,73,26,89,26.90
Country Strong,12,2010,30,45,134,22,164,26.21
Couples Retreat,10,2009,27,23,164,10,191,11.84
Courageous,9,2011,10,42,22,36,32,37.88
Cowboys & Aliens,7,2011,41,50,,,41,50.00
Coyote Ugly,12,2000,29,27,103,23,132,23.88
Cradle 2 the Grave,2,2003,26,36,125,26,151,27.72
Crank,9,2006,19,57,102,62,121,61.21
Crash,5,2005,39,64,,,39,64.00
Crawl,7,2019,32,60,212,84,244,80.85
Crazy Heart,12,2009,32,83,214,90,246,89.09
Crazy Rich Asians,8,2018,50,74,374,91,424,89.00
Crazy Stupid Love.,7,2011,40,68,,,40,68.00
Crazy as Hell,9,2002,9,33,15,53,24,45.50
Crazy/Beautiful,6,2001,26,61,99,63,125,62.58
Creed,11,2015,42,82,314,95,356,93.47
Creed II,11,2018,46,66,312,83,358,80.82
Creed III,3,2023,62,73,339,88,401,85.68
Criminal,4,2016,27,36,138,30,165,30.98
Crimson Peak,10,2015,37,66,284,73,321,72.19
Crocodile Dundee in Los Angeles,4,2001,23,37,82,11,105,16.70
Crossover,9,2006,19,30,65,2,84,8.33
Crossroads,2,2002,31,27,103,15,134,17.78
Crouching Tiger Hidden Dragon,2,2023,6,67,,,6,67.00
Cruel Intentions,3,2019,,,,,0,0
Crush,4,2002,33,61,,,33,61.00
Cry Wolf,9,2005,14,39,47,23,61,26.67
Curious George,2,2006,28,62,108,70,136,68.35
Cursed,2,2005,21,31,98,15,119,17.82
Cyrus,6,2010,38,74,157,80,195,78.83
DOA: Dead or Alive,6,2007,,,,,0,0
Daddy Day Camp,8,2007,19,13,81,1,100,3.28
Daddy Day Care,5,2003,31,39,131,27,162,29.30
Daddy's Home 2,11,2017,26,30,129,21,155,22.51
Dahmer,6,2002,18,63,41,73,59,69.95
Dallas Buyers Club,11,2013,47,77,267,92,314,89.75
Dance Flick,5,2009,17,40,96,18,113,21.31
Dancer in the Dark,9,2000,33,63,122,70,155,68.51
Danny Collins,3,2015,31,58,135,78,166,74.27
Daredevil,2,2003,35,42,228,43,263,42.87
Dark Blue,2,2003,,,,,0,0
Dark Places,8,2015,19,39,83,23,102,25.98
Dark Shadows,5,2012,42,55,263,35,305,37.75
Dark Skies,2,2013,19,50,94,41,113,42.51
Dark Water,7,2005,35,52,152,47,187,47.94
Darkest Hour,11,2017,50,75,313,84,363,82.76
Darkness,12,2004,,,,,0,0
Darkness Falls,1,2003,27,23,132,10,159,12.21
Date Movie,2,2006,18,11,90,7,108,7.67
Date Night,4,2010,37,56,232,67,269,65.49
Dave Chappelle's Block Party,3,2006,,,,,0,0
Dawn of the Dead,3,2004,37,59,195,76,232,73.29
Dawn of the Planet of the Apes,7,2014,48,79,319,91,367,89.43
Daybreakers,1,2010,,,,,0,0
De-Lovely,7,2004,33,53,155,48,188,48.88
Dead Man Down,3,2013,24,39,105,41,129,40.63
Dead Silence,3,2007,15,34,82,21,97,23.01
Deadpool,2,2016,49,65,348,85,397,82.53
Deadpool 2,5,2018,51,66,417,84,468,82.04
Dear John,2,2010,34,43,139,29,173,31.75
Dear White People,10,2014,32,79,134,91,166,88.69
Death Race,8,2008,24,43,157,41,181,41.27
Death Sentence,8,2007,24,36,114,20,138,22.78
Death Wish,3,2018,32,31,163,18,195,20.13
Death at a Funeral,4,2010,25,51,138,43,163,44.23
Death of a Nation,8,2018,8,1,13,0,21,0.38
Death of a President,10,2006,30,49,101,40,131,42.06
Death to Smoochy,3,2002,30,38,119,42,149,41.19
Deception,4,2008,23,31,99,11,122,14.77
Deck the Halls,11,2006,22,28,86,6,108,10.48
Deepwater Horizon,9,2016,52,68,267,82,319,79.72
Defendor,2,2010,,,,,0,0
Defiance,12,2008,34,58,189,59,223,58.85
"Definitely, Maybe",2,2008,33,59,148,71,181,68.81
Deja Vu,11,2006,32,59,,,32,59.00
Deliver Us from Evil,10,2006,23,86,,,23,86.00
Delivery Man,11,2013,33,44,147,40,180,40.73
Den of Thieves,1,2018,24,49,136,41,160,42.20
Denial,9,2016,34,63,171,82,205,78.85
Derailed,11,2005,34,40,125,21,159,25.06
Despicable Me,7,2010,35,72,203,80,238,78.82
Despicable Me 2,7,2013,39,62,187,75,226,72.76
Despicable Me 3,6,2017,37,49,195,58,232,56.56
Destroyer,12,2018,44,62,266,74,310,72.30
Detroit,7,2017,49,77,305,82,354,81.31
Deuce Bigalow: European Gigolo,8,2005,25,23,99,9,124,11.82
Deuces Wild,5,2002,21,16,74,3,95,5.87
Devil,9,2010,14,44,100,50,114,49.26
Devil's Due,1,2014,18,34,58,21,76,24.08
Dheepan,5,2016,,,,,0,0
Diary of a Mad Black Woman,2,2005,30,36,114,16,144,20.17
Diary of a Wimpy Kid,3,2010,27,56,107,54,134,54.40
Diary of a Wimpy Kid: Dog Days,8,2012,22,54,75,52,97,52.45
Diary of a Wimpy Kid: Rodrick Rules,3,2011,23,51,99,47,122,47.75
Diary of a Wimpy Kid: The Long Haul,5,2017,16,39,71,18,87,21.86
Diary of the Dead,2,2008,,,,,0,0
Dickie Roberts: Former Child Star,9,2003,31,36,120,22,151,24.87
Did You Hear About the Morgans?,12,2009,28,27,122,12,150,14.80
Die Another Day,11,2002,43,56,227,55,270,55.16
Digimon: The Movie,10,2000,,,41,24,41,24.00
Dinner for Schmucks,7,2010,37,56,191,42,228,44.27
Dinosaur,5,2000,32,56,124,65,156,63.15
Dirty,1,2006,8,48,,,8,48.00
Dirty Dancing: Havana Nights,2,2004,32,39,107,23,139,26.68
Dirty Grandpa,1,2016,27,21,135,10,162,11.83
Dirty Pretty Things,7,2003,,,,,0,0
Disaster Movie,8,2008,12,15,73,1,85,2.98
District 9,8,2009,36,81,314,90,350,89.07
Disturbia,4,2007,28,62,178,70,206,68.91
Divergent,3,2014,38,48,236,41,274,41.97
Divine Secrets of the Ya-Ya Sisterhood,6,2002,35,48,146,44,181,44.77
Django Unchained,12,2012,42,81,299,87,341,86.26
Do You Believe?,3,2015,6,22,20,25,26,24.31
Doctor Sleep,10,2019,47,59,337,78,384,75.67
Doctor Strange,11,2016,49,72,389,89,438,87.10
Dodgeball: A True Underdog Story,6,2004,34,55,167,71,201,68.29
Dog Days,8,2018,19,47,69,62,88,58.76
Dogville,3,2004,,,,,0,0
Dolphin Tale,9,2011,31,64,113,81,144,77.34
Dolphin Tale 2,9,2014,27,58,87,66,114,64.11
Domestic Disturbance,11,2001,27,29,99,23,126,24.29
Domino,10,2005,36,37,155,18,191,21.58
Don Jon,9,2013,41,66,204,80,245,77.66
Don't Be Afraid of the Dark,8,2011,37,42,,,37,42.00
Don't Breathe,8,2016,39,71,246,88,285,85.67
Don't Let Go,8,2019,22,49,92,42,114,43.35
Don't Say a Word,9,2001,32,38,114,24,146,27.07
Donnie Darko,6,2004,,,,,0,0
Doogal,2,2006,14,23,48,8,62,11.39
Doom,10,2005,28,34,137,18,165,20.72
Doomsday,3,2008,14,51,76,50,90,50.16
Dope,6,2015,37,72,163,88,200,85.04
Dora and the Lost City of Gold,8,2019,23,63,156,85,179,82.17
Double Take,1,2001,22,25,78,12,100,14.86
Doubt,12,2008,36,68,221,79,257,77.46
Down Terrace,10,2010,,,,,0,0
Down to Earth,2,2001,28,32,96,20,124,22.71
Downsizing,12,2017,48,64,301,47,349,49.34
Downton Abbey,9,2019,42,64,261,84,303,81.23
Dr. Dolittle 2,6,2001,28,49,107,41,135,42.66
Dracula 2000,12,2000,14,26,,,14,26.00
Dracula Untold,10,2014,30,40,138,25,168,27.68
Draft Day,4,2014,33,54,163,60,196,58.99
Drag Me to Hell,5,2009,32,83,270,92,302,91.05
Dragon Ball Super: Broly,1,2019,,,,,0,0
Dragon Wars: D-War,9,2007,9,33,38,29,47,29.77
Dragonball Evolution,4,2009,10,45,,,10,45.00
Dragonfly,2,2002,33,25,125,7,158,10.76
Dream House,9,2011,16,35,90,7,106,11.23
Dreamcatcher,3,2003,38,35,181,28,219,29.21
Dreamer,10,2005,28,59,,,28,59.00
Dreamgirls,12,2006,37,76,208,79,245,78.55
Dredd,9,2012,30,60,170,80,200,77.00
Drillbit Taylor,3,2008,31,41,147,27,178,29.44
Drive,9,2011,43,79,277,93,320,91.12
Drive Angry,2,2011,21,44,124,47,145,46.57
Driven,4,2001,26,29,111,14,137,16.85
Drowning Mona,3,2000,32,25,78,29,110,27.84
Drumline,12,2002,28,63,87,82,115,77.37
Dude Where's My Car?,12,2000,17,30,,,17,30.00
"Dude, Where's My Car?",12,2000,17,30,62,16,79,19.01
Due Date,11,2010,39,51,197,40,236,41.82
Duets,9,2000,29,40,92,21,121,25.55
Dum Maaro Dum,4,2011,,,6,50,6,50.00
Dumb Money,9,2023,53,66,233,84,286,80.66
Dumb and Dumber To,11,2014,36,36,152,30,188,31.15
Dumb and Dumberer: When Harry Met Lloyd,6,2003,28,19,119,10,147,11.71
Dumbo,3,2019,55,51,372,46,427,46.64
Dune: Part Two,2,2024,62,79,424,92,486,90.34
Dungeons & Dragons,12,2000,25,14,94,9,119,10.05
Dungeons & Dragons: Honor Among Thieves,3,2023,57,72,313,91,370,88.07
Dunkirk,12,2017,53,94,473,92,526,92.20
Duplex,9,2003,31,50,111,35,142,38.27
Duplicity,3,2009,34,69,193,65,227,65.60
Dylan Dog: Dead of Night,4,2011,,,45,4,45,4.00
E.T. the Extra-Terrestrial,3,2002,,,,,0,0
Eagle Eye,9,2008,30,43,183,26,213,28.39
Early Man,2,2018,39,68,175,81,214,78.63
Earth,4,2009,,,,,0,0
Earth to Echo,7,2014,31,53,126,50,157,50.59
Eastern Promises,9,2007,35,83,202,89,237,88.11
Easy A,9,2010,35,72,194,85,229,83.01
Easy Virtue,5,2009,,,,,0,0
Eat Pray Love,8,2010,39,50,210,35,249,37.35
Eddie the Eagle,2,2016,26,72,204,82,230,80.87
Edge of Darkness,1,2010,34,55,219,55,253,55.00
Edge of Tomorrow,6,2014,43,71,337,91,380,88.74
Eight Below,2,2006,31,64,153,73,184,71.48
Eight Legged Freaks,7,2002,32,53,145,48,177,48.90
Eighth Grade,7,2018,49,85,322,99,371,97.15
Elektra,1,2005,35,34,165,11,200,15.03
Elemental,6,2023,45,58,262,73,307,70.80
Elephant,10,2003,37,70,164,74,201,73.26
Elf,11,2003,39,66,202,86,241,82.76
Elizabeth: The Golden Age,10,2007,35,45,165,35,200,36.75
Elizabethtown,10,2005,37,45,176,28,213,30.95
Ella Enchanted,4,2004,30,53,116,51,146,51.41
Elle,11,2016,36,89,247,91,283,90.75
Elysium,8,2013,47,61,263,64,310,63.55
Empire,12,2002,27,38,101,21,128,24.59
Employee of the Month,10,2006,24,36,92,20,116,23.31
Enchanted,11,2007,32,75,193,93,225,90.44
End of Watch,9,2012,37,68,183,85,220,82.14
End of the Spear,1,2006,,,53,42,53,42.00
Ender's Game,11,2013,39,51,226,62,265,60.38
Endless Love,2,2014,32,30,93,16,125,19.58
Enemy at the Gates,3,2001,33,53,140,54,173,53.81
Enough,5,2002,32,25,126,21,158,21.81
Enough Said,9,2013,44,78,194,95,238,91.86
Entourage,6,2015,40,38,213,32,253,32.95
Envy,4,2004,30,31,117,8,147,12.69
Epic,5,2013,30,52,126,65,156,62.50
Epic Movie,1,2007,17,17,66,2,83,5.07
Eragon,12,2006,29,38,126,16,155,20.12
Erin Brockovich,3,2000,36,73,150,85,186,82.68
Escape Plan,10,2013,33,49,117,50,150,49.78
Escape Room,1,2019,26,48,164,51,190,50.59
Escape from Planet Earth,2,2013,,,,,0,0
Eternal Sunshine of the Spotless Mind,3,2004,41,89,257,92,298,91.59
EuroTrip,2,2004,30,45,,,30,45.00
Evan Almighty,6,2007,33,37,195,24,228,25.88
Evening,6,2007,33,45,129,27,162,30.67
Everest,9,2015,39,64,236,73,275,71.72
Every Day,1,2011,,,,,0,0
Everybody Wants to Be Italian,9,2008,,,,,0,0
Everybody's Fine,12,2009,25,47,144,47,169,47.00
Everything Everything,5,2017,24,52,,,24,52.00
Everything Must Go,5,2011,,,,,0,0
"Everything, Everything",5,2017,24,52,122,44,146,45.32
Evil Dead,4,2013,38,57,205,63,243,62.06
Evolution,6,2001,32,40,140,44,172,43.26
Ex Machina,4,2015,,,,,0,0
Exit Wounds,3,2001,9,39,66,33,75,33.72
Exodus: Gods and Kings,12,2014,43,52,210,31,253,34.57
Exorcist: The Beginning,8,2004,22,30,133,11,155,13.70
Extract,9,2009,33,61,189,62,222,61.85
Extraordinary Measures,1,2010,33,45,143,29,176,32.00
Extreme Ops,11,2002,14,17,68,7,82,8.71
Eye in the Sky,3,2016,,,,,0,0
Facing the Giants,9,2006,4,38,25,16,29,19.03
Fahrenheit 11/9,9,2018,46,69,184,82,230,79.40
Fahrenheit 9/11,6,2004,43,67,236,82,279,79.69
Failure to Launch,3,2006,31,47,151,23,182,27.09
Fair Game,11,2010,35,69,177,79,212,77.35
Fame,9,2009,26,39,121,23,147,25.83
Fantastic Beasts and Where to Find Them,11,2016,50,66,346,74,396,72.99
Fantastic Beasts: The Crimes of Grindelwald,11,2018,48,52,337,36,385,37.99
Fantastic Four,8,2015,40,27,262,9,302,11.38
Fantastic Four: Rise of the Silver Surfer,6,2007,33,45,173,38,206,39.12
Fantastic Mr. Fox,11,2009,34,83,249,93,283,91.80
Far from Heaven,11,2002,37,84,,,37,84.00
Far from the Madding Crowd,5,2015,40,71,,,40,71.00
Fascination,1,2005,,,,,0,0
Fast & Furious,4,2009,28,46,,,28,46.00
Fast & Furious 6,5,2013,39,61,,,39,61.00
Fast & Furious Presents: Hobbs & Shaw,8,2019,54,60,,,54,60.00
Fast Five,4,2011,41,66,208,78,249,76.02
Fast X,5,2023,59,56,314,56,373,56.00
Faster,11,2010,24,44,130,41,154,41.47
Fat Albert,12,2004,26,39,91,23,117,26.56
Fat Kid Rules the World,10,2012,12,54,25,84,37,74.27
Father Figures,12,2017,17,22,48,17,65,18.31
Feardotcom,8,2002,20,16,,,20,16.00
Fences,12,2016,48,79,273,92,321,90.06
Ferdinand,12,2017,20,58,120,71,140,69.14
Ferrari,12,2023,55,73,253,72,308,72.18
Fever Pitch,4,2005,37,56,195,66,232,64.41
Fifty Shades Darker,2,2017,39,33,209,11,248,14.46
Fifty Shades Freed,2,2018,43,31,194,11,237,14.63
Fifty Shades of Black,1,2016,11,28,46,4,57,8.63
Fifty Shades of Grey,2,2015,46,46,280,25,326,27.96
Fighting,4,2009,22,61,130,39,152,42.18
Fighting with My Family,2,2019,38,68,,,38,68.00
Filly Brown,4,2013,,,,,0,0
Final Destination,3,2000,28,39,97,36,125,36.67
Final Destination 2,1,2003,25,38,111,50,136,47.79
Final Destination 3,2,2006,28,43,116,43,144,43.00
Final Destination 5,8,2011,24,50,136,63,160,61.05
Final Fantasy: The Spirits Within,7,2001,28,49,146,44,174,44.80
Find Me Guilty,3,2006,27,65,106,63,133,63.41
Finding Dory,6,2016,48,77,341,94,389,91.90
Finding Forrester,12,2000,27,62,129,74,156,71.92
Finding Nemo,9,2012,,,,,0,0
Finding Neverland,11,2004,38,67,206,83,244,80.51
Finding Your Feet,3,2018,5,78,,,5,78.00
Fired Up!,2,2009,18,31,,,18,31.00
Fireflies in the Garden,10,2011,,,,,0,0
Fireproof,9,2008,6,28,21,38,27,35.78
Firewall,2,2006,38,45,159,19,197,24.02
First Daughter,9,2004,24,31,86,8,110,13.02
First Man,10,2018,56,84,465,87,521,86.68
Fist Fight,2,2017,28,37,133,25,161,27.09
Five Feet Apart,3,2019,27,53,130,53,157,53.00
Flags of Our Fathers,10,2006,39,79,240,76,279,76.42
Flatliners,9,2017,20,27,78,4,98,8.69
Flicka,10,2006,21,57,79,54,100,54.63
Flight,11,2012,40,76,242,77,282,76.86
Flight of the Phoenix,12,2004,28,47,120,31,148,34.03
Flightplan,9,2005,33,53,177,37,210,39.51
Flipped,8,2010,24,45,77,55,101,52.62
Florence Foster Jenkins,8,2016,41,71,236,88,277,85.48
Flushed Away,11,2006,28,74,139,73,167,73.17
Fly Me to the Moon 3D,8,2008,,,,,0,0
Flyboys,9,2006,22,47,129,33,151,35.04
Focus,10,2001,27,53,,,27,53.00
Fool's Gold,2,2008,29,29,147,11,176,13.97
Footloose,10,2011,35,58,173,68,208,66.32
For Colored Girls,11,2010,33,50,108,32,141,36.21
For Greater Glory: The True Story of Cristiada,4,2012,17,35,,,17,35.00
For Your Consideration,11,2006,33,68,164,53,197,55.51
Forever My Girl,1,2018,18,36,54,24,72,27.00
Forgetting Sarah Marshall,4,2008,37,67,186,83,223,80.35
Formula 51,10,2002,,,,,0,0
Forrest Gump,6,2019,,,,,0,0
Forty Shades of Blue,9,2005,16,74,51,61,67,64.10
Four Brothers,8,2005,31,49,133,53,164,52.24
Four Christmases,11,2008,27,41,146,25,173,27.50
Four Lions,11,2010,28,68,,,28,68.00
Foxcatcher,11,2014,49,81,251,88,300,86.86
Frailty,4,2002,,,156,75,156,75.00
Frances Ha,5,2013,,,,,0,0
Frankenweenie,10,2012,38,74,224,88,262,85.97
Freakonomics,10,2010,23,58,64,66,87,63.89
Freaky Friday,8,2003,36,70,157,88,193,84.64
Freddy Got Fingered,4,2001,25,13,96,10,121,10.62
Freddy vs. Jason,8,2003,29,37,165,42,194,41.25
Free Birds,11,2013,27,38,90,20,117,24.15
Free State of Jones,6,2016,38,53,193,48,231,48.82
Freedom Writers,1,2007,29,64,126,70,155,68.88
Frequency,4,2000,32,67,127,70,159,69.40
Frida,10,2002,38,61,161,76,199,73.14
Friday After Next,11,2002,24,35,72,26,96,28.25
Friday Night Lights,10,2004,35,70,174,82,209,79.99
Friday the 13th,2,2009,29,34,177,25,206,26.27
Friend Request,9,2017,,,,,0,0
Friends with Benefits,7,2011,37,63,,,37,63.00
Friends with Money,4,2006,38,68,,,38,68.00
Fright Night,8,2011,30,64,183,72,213,70.87
From Hell,10,2001,32,54,152,57,184,56.48
From Justin to Kelly,6,2003,16,14,63,8,79,9.22
From Paris with Love,2,2010,32,42,,,32,42.00
Frost/Nixon,12,2008,38,80,260,93,298,91.34
Frozen,2,2010,16,43,97,63,113,60.17
Frozen II,11,2019,47,64,340,77,387,75.42
Frozen River,8,2008,30,82,139,88,169,86.93
Fruitvale Station,7,2013,46,85,215,94,261,92.41
Full Frontal,8,2002,37,45,145,39,182,40.22
Fun Size,10,2012,25,37,73,25,98,28.06
Fun with Dick and Jane,12,2005,33,47,,,33,47.00
Funny Games,3,2008,,,,,0,0
Funny People,7,2009,36,60,236,69,272,67.81
Furious 7,4,2015,50,67,280,81,330,78.88
Furry Vengeance,4,2010,21,23,98,8,119,10.65
Fury,10,2014,47,64,262,76,309,74.17
G-Force,7,2009,19,41,128,22,147,24.46
