movie_name,month,year,critic_vote_metacritic,meta_score_metacritic,critic_vote_rotten,meta_score_rotten,critic_vote,meta_score
Breakin' All the Rules,5,2004,26,46,87,31,113,34.45
Breaking In,5,2018,24,42,108,27,132,29.73
Breakthrough,4,2019,17,46,65,62,82,58.68
Brick Mansions,4,2014,28,40,98,24,126,27.56
Bride & Prejudice,2,2005,37,82,,,37,82.00
Bride Wars,1,2009,30,24,147,10,177,12.37
Bridesmaids,5,2011,39,75,296,90,335,88.25
Bridge of Spies,10,2015,48,81,315,91,363,89.68
Bridge to Terabithia,2,2007,25,74,163,85,188,83.54
Bridget Jones's Baby,9,2016,42,59,210,78,252,74.83
Bridget Jones's Diary,4,2001,33,66,162,80,195,77.63
Bridget Jones: The Edge of Reason,11,2004,37,44,157,27,194,30.24
Bright Star,9,2009,34,81,179,83,213,82.68
Brightburn,5,2019,31,44,208,57,239,55.31
Brighton Rock,8,2011,,,,,0,0
Bringing Down the House,3,2003,31,39,151,34,182,34.85
Brokeback Mountain,12,2005,41,87,252,88,293,87.86
Broken City,1,2013,38,49,154,27,192,31.35
Broken Flowers,8,2005,39,79,192,87,231,85.65
Brooklyn,11,2015,45,88,279,97,324,95.75
Brooklyn Rules,5,2007,13,53,40,45,53,46.96
Brooklyn's Finest,3,2010,,,,,0,0
Brother Bear,10,2003,28,48,131,37,159,38.94
Brotherhood of the Wolf,1,2023,,,,,0,0
Brothers,12,2009,31,58,,,31,58.00
Brown Sugar,10,2002,28,58,87,67,115,64.81
Bruce Almighty,5,2003,35,46,190,48,225,47.69
Brüno,7,2009,18,43,230,67,248,65.26
Bubble,1,2006,11,61,,,11,61.00
Bubble Boy,8,2001,21,41,84,31,105,33.00
Bucky Larson: Born to Be a Star,9,2011,13,9,36,3,49,4.59
Buffalo Soldiers,7,2003,16,56,,,16,56.00
Bug,5,2007,,,,,0,0
Bullet to the Head,2,2013,,,,,0,0
Bulletproof Monk,4,2003,29,40,130,23,159,26.10
Bumblebee,12,2018,39,66,252,90,291,86.78
Buried,9,2010,29,65,161,87,190,83.64
Burlesque,11,2010,38,47,177,37,215,38.77
Burn After Reading,9,2008,37,63,248,78,285,76.05
Burnt,10,2015,28,42,162,28,190,30.06
CHIPS,3,2017,26,28,113,19,139,20.68
Ca$h,3,2010,4,6,,,4,6.00
Cabin Fever,9,2003,,,,,0,0
Cabrini,3,2024,14,51,91,90,105,84.80
Caché,12,2005,38,87,,,38,87.00
Cadillac Records,12,2008,30,65,123,66,153,65.80
Café Society,5,2016,37,64,258,71,295,70.12
Calendar Girls,12,2003,30,60,126,74,156,71.31
Call Me by Your Name,11,2017,53,94,364,94,417,94.00
Can You Ever Forgive Me?,10,2018,53,87,320,98,373,96.44
Capitalism: A Love Story,9,2009,36,61,190,74,226,71.93
Capote,9,2005,40,88,196,89,236,88.83
Captain America: Civil War,5,2016,52,75,432,91,484,89.28
Captain America: The First Avenger,7,2011,43,66,276,80,319,78.11
Captain America: The Winter Soldier,4,2014,48,70,311,90,359,87.33
Captain Corelli's Mandolin,8,2001,33,36,119,28,152,29.74
Captain Fantastic,7,2016,36,72,229,83,265,81.51
Captain Marvel,3,2019,56,64,552,79,608,77.62
Captain Phillips,10,2013,48,82,281,93,329,91.40
Captain Underpants: The First Epic Movie,6,2017,25,69,137,87,162,84.22
Captive State,3,2019,19,54,81,42,100,44.28
Carnage,12,2011,40,61,200,70,240,68.50
Carol,11,2015,45,94,323,94,368,94.00
Carrie,10,2013,34,53,185,50,219,50.47
Cars,6,2006,39,73,205,75,244,74.68
Cars 2,6,2011,38,57,221,39,259,41.64
Cars 3,6,2017,41,59,233,69,274,67.50
Casa de mi Padre,3,2012,32,52,,,32,52.00
Case 39,10,2010,,,,,0,0
Casino Jack,12,2010,22,68,97,39,119,44.36
Casino Royale,11,2006,46,80,269,94,315,91.96
Cast Away,12,2000,32,74,157,89,189,86.46
Catch Me If You Can,12,2002,39,75,,,39,75.00
Catch That Kid,2,2004,27,33,85,13,112,17.82
Catch a Fire,10,2006,32,62,145,75,177,72.65
Catch and Release,1,2007,,,,,0,0
Cats,12,2019,51,32,334,19,385,20.72
Cats & Dogs,7,2001,26,47,,,26,47.00
Cats & Dogs: The Revenge of Kitty Galore,7,2010,22,30,,,22,30.00
Catwoman,7,2004,35,27,197,8,232,10.87
Cedar Rapids,2,2011,38,70,169,86,207,83.06
Cellular,9,2004,29,60,150,56,179,56.65
Center Stage,5,2000,33,52,80,41,113,44.21
Central Intelligence,6,2016,35,52,187,71,222,68.00
Centurion,8,2010,21,62,114,60,135,60.31
Chain Letter,10,2010,29,6,14,29,43,13.49
Changeling,10,2008,38,63,209,62,247,62.15
Changing Lanes,4,2002,36,69,153,78,189,76.29
