movie_name,month,year,critic_vote_metacritic,meta_score_metacritic,critic_vote_rotten,meta_score_rotten,critic_vote,meta_score
Maleficent,5,2014,44,56,277,54,321,54.27
Maleficent: Mistress of Evil,10,2019,40,43,259,39,299,39.54
Malevolence,9,2004,,,17,35,17,35.00
Malibu's Most Wanted,4,2003,25,43,93,31,118,33.54
Mama,1,2013,35,57,168,64,203,62.79
Mambo Italiano,9,2003,26,41,75,32,101,34.32
Mamma Mia!,7,2008,37,51,186,55,223,54.34
Mamma Mia! Here We Go Again,7,2018,46,60,276,79,322,76.29
Man of Steel,6,2013,47,55,343,56,390,55.88
Man of the House,2,2005,20,35,67,9,87,14.98
Man of the Year,10,2006,,,145,21,145,21.00
Man on Fire,4,2004,36,47,168,39,204,40.41
Man on Wire,7,2008,31,89,160,100,191,98.21
Man on a Ledge,1,2012,32,40,163,31,195,32.48
Manchester by the Sea,11,2016,53,96,358,96,411,96.00
Mandela: Long Walk to Freedom,11,2013,32,60,146,62,178,61.64
Mao's Last Dancer,8,2010,,,,,0,0
Marci X,8,2003,17,20,61,8,78,10.62
Margaret,9,2011,28,61,102,75,130,71.98
Margin Call,10,2011,38,76,174,87,212,85.03
Maria Full of Grace,7,2004,39,87,145,97,184,94.88
Marie Antoinette,10,2006,37,64,218,57,255,58.02
Marley & Me,12,2008,30,53,142,63,172,61.26
Marmaduke,6,2010,22,30,104,9,126,12.67
Married Life,3,2008,36,85,,,36,85.00
Mars Needs Moms,3,2011,22,49,116,37,138,38.91
Marshall,10,2017,34,66,147,80,181,77.37
Martha Marcy May Marlene,10,2011,39,75,210,90,249,87.65
Martian Child,11,2007,26,48,110,35,136,37.49
Martin Lawrence Live: Runteldat,8,2002,23,40,57,39,80,39.29
Mary Poppins Returns,12,2018,54,66,379,79,433,77.38
Mary Queen of Scots,12,2018,47,60,295,62,342,61.73
Master and Commander: The Far Side of the World,11,2003,42,81,224,85,266,84.37
Masterminds,9,2016,,,100,34,100,34.00
Match Point,12,2005,40,72,216,77,256,76.22
Max,12,2002,30,56,110,69,140,66.21
Max Keeble's Big Move,10,2001,19,40,56,29,75,31.79
Max Payne,10,2008,25,31,138,16,163,18.30
Maze Runner: The Death Cure,1,2018,38,50,172,43,210,44.27
Maze Runner: The Scorch Trials,9,2015,29,43,155,48,184,47.21
"McFarland, USA",2,2015,32,60,131,80,163,76.07
Me Before You,6,2016,36,51,179,54,215,53.50
Me and Earl and the Dying Girl,6,2015,40,74,212,82,252,80.73
Me and Orson Welles,11,2009,,,,,0,0
Me and You and Everyone We Know,6,2005,38,76,119,82,157,80.55
"Me, Myself & Irene",6,2000,35,49,101,48,136,48.26
Mean Girls,4,2004,39,66,219,84,258,81.28
Mechanic: Resurrection,8,2016,15,38,59,31,74,32.42
Meek's Cutoff,4,2011,,,,,0,0
Meet Dave,7,2008,26,43,102,20,128,24.67
Meet the Blacks,4,2016,4,26,12,17,16,19.25
Meet the Browns,3,2008,14,45,58,33,72,35.33
Meet the Fockers,12,2004,34,41,166,39,200,39.34
Meet the Mormons,10,2014,6,29,11,18,17,21.88
Meet the Parents,10,2000,33,73,148,85,181,82.81
Meet the Spartans,1,2008,11,9,49,2,60,3.28
Meg 2: The Trench,8,2023,38,40,183,27,221,29.24
Megamind,11,2010,33,63,182,73,215,71.47
Megiddo: The Omega Code 2,9,2001,6,35,,,6,35.00
Melancholia,11,2011,41,81,209,80,250,80.16
Memento,3,2001,,,,,0,0
Memoirs of a Geisha,12,2005,38,54,166,36,204,39.35
Men in Black II,7,2002,37,49,198,38,235,39.73
Men in Black: International,6,2019,51,38,320,23,371,25.06
Men in Black�,5,2012,38,58,,,38,58.00
Men of Honor,11,2000,30,56,105,42,135,45.11
Metallica Through the Never,9,2013,24,61,,,24,61.00
Miami Vice,7,2006,37,66,226,47,263,49.67
Michael Clayton,10,2007,36,82,206,90,242,88.81
Mickey,4,2004,,,,,0,0
Micmacs,5,2010,,,,,0,0
Mid90s,10,2018,45,66,226,81,271,78.51
Middle Men,8,2010,,,,,0,0
Middle School: The Worst Years of My Life,10,2016,13,51,45,64,58,61.09
Middle of Nowhere,10,2012,21,75,52,88,73,84.26
Midnight Special,3,2016,44,76,240,83,284,81.92
Midnight Sun,3,2018,14,38,64,20,78,23.23
Midnight in Paris,5,2011,40,81,229,93,269,91.22
Midsommar,7,2019,54,72,405,83,459,81.71
Midway,11,2019,28,47,174,42,202,42.69
Mike and Dave Need Wedding Dates,7,2016,32,51,171,39,203,40.89
Mile 22,8,2018,36,38,194,23,230,25.35
Milk,11,2008,39,83,246,93,285,91.63
Million Dollar Arm,5,2014,38,56,147,65,185,63.15
Million Dollar Baby,12,2004,39,86,270,90,309,89.50
Mindhunters,5,2005,,,,,0,0
Minions,7,2015,35,56,224,56,259,56.00
Minority Report,6,2002,37,80,260,89,297,87.88
Miracle,2,2004,36,68,166,81,202,78.68
Miracle at St. Anna,9,2008,31,37,121,33,152,33.82
Miracles from Heaven,3,2016,20,44,,,20,44.00
Mirror Mirror,3,2012,34,46,198,49,232,48.56
Mirrormask,9,2005,27,55,89,54,116,54.23
Mirrors,8,2008,13,35,87,15,100,17.60
Miss Bala,2,2019,30,41,115,22,145,25.93
Miss Congeniality,12,2000,20,43,116,41,136,41.29
Miss Peregrine's Home for Peculiar Children,9,2016,43,57,258,65,301,63.86
Miss Potter,12,2006,29,57,131,69,160,66.83
Mission to Mars,3,2000,36,34,115,24,151,26.38
Mission: Impossible - Dead Reckoning Part One,7,2023,66,81,432,96,498,94.01
Mission: Impossible - Fallout,7,2018,60,87,442,97,502,95.80
Mission: Impossible - Ghost Protocol,12,2011,47,73,253,93,300,89.87
Mission: Impossible - Rogue Nation,7,2015,46,75,,,46,75.00
Mission: Impossible III,5,2006,42,66,224,71,266,70.21
Moana,11,2015,,,,,0,0
Mommy,9,2014,34,74,129,89,163,85.87
Moms' Night Out,5,2014,20,25,43,21,63,22.27
Mona Lisa Smile,12,2003,40,45,151,34,191,36.30
Money Monster,5,2016,44,55,284,59,328,58.46
Moneyball,9,2011,42,87,275,94,317,93.07
Mongol: The Rise of Genghis Khan,6,2008,,,,,0,0
Monkeybone,2,2001,28,40,114,20,142,23.94
Monsoon Wedding,2,2002,29,62,,,29,62.00
Monster,12,2003,40,74,,,40,74.00
Monster House,7,2006,32,68,162,75,194,73.85
Monster Trucks,1,2017,,,,,0,0
Monster's Ball,12,2001,32,69,142,85,174,82.06
Monster-in-Law,5,2005,38,31,168,18,206,20.40
Monsters,10,2010,26,63,162,73,188,71.62
Monsters Inc.,11,2001,35,79,,,35,79.00
Monsters University,6,2013,41,65,203,80,244,77.48
Monsters vs. Aliens,3,2009,35,56,217,73,252,70.64
"Monsters, Inc.",12,2001,35,79,199,96,234,93.46
Monte Carlo,7,2011,23,43,92,40,115,40.60
Moon,6,2009,29,67,197,90,226,87.05
Moonlight,10,2016,53,99,402,98,455,98.12
Moonlight Mile,9,2002,34,59,150,63,184,62.26
Moonrise Kingdom,5,2012,43,84,271,93,314,91.77
Morgan,9,2016,33,48,155,37,188,38.93
Morning Glory,11,2010,38,57,184,56,222,56.17
