movie_name,month,year,critic_vote_metacritic,meta_score_metacritic,critic_vote_rotten,meta_score_rotten,critic_vote,meta_score
Mortal Engines,12,2018,33,44,190,26,223,28.66
Mortdecai,1,2015,21,27,111,12,132,14.39
Mother and Child,5,2010,,,,,0,0
Mother!,9,2017,51,76,,,51,76.00
Mother's Day,4,2016,30,18,157,8,187,9.60
Motherless Brooklyn,11,2019,36,60,221,64,257,63.44
Moulin Rouge!,5,2001,35,66,,,35,66.00
Movie 43,1,2013,23,18,88,5,111,7.69
Mozart and the Whale,4,2006,,,,,0,0
Mr. & Mrs. Smith,6,2005,41,55,,,41,55.00
Mr. 3000,9,2004,27,57,113,55,140,55.39
Mr. Brooks,6,2007,34,45,159,55,193,53.24
Mr. Deeds,6,2002,33,24,153,22,186,22.35
Mr. Peabody & Sherman,3,2014,34,59,137,81,171,76.63
Mr. Popper's Penguins,6,2011,30,53,145,47,175,48.03
Mr. Turner,12,2014,44,94,195,97,239,96.45
Mrs. Henderson Presents,12,2005,36,71,144,68,180,68.60
Mud,4,2013,,,185,97,185,97.00
Mulholland Drive,10,2001,37,87,,,37,87.00
Munich,12,2005,39,74,209,78,248,77.37
Muppets Most Wanted,3,2014,37,61,203,80,240,77.07
Murder by Numbers,4,2002,35,50,128,30,163,34.29
Murder on the Orient Express,11,2017,46,52,301,60,347,58.94
Music and Lyrics,2,2007,30,59,168,63,198,62.39
Must Love Dogs,7,2005,36,46,150,37,186,38.74
Mustang,11,2015,29,83,156,97,185,94.81
My Baby's Daddy,1,2004,15,23,52,6,67,9.81
My Best Friend's Girl,9,2008,13,34,59,14,72,17.61
My Big Fat Greek Wedding,4,2002,29,62,131,76,160,73.46
My Big Fat Greek Wedding 2,3,2016,32,37,174,28,206,29.40
My Bloody Valentine,1,2009,11,51,110,62,121,61.00
My Blueberry Nights,4,2008,,,,,0,0
My Boss's Daughter,8,2003,19,15,74,8,93,9.43
My Date with Drew,8,2005,,,,,0,0
My Dog Skip,1,2000,26,61,82,73,108,70.11
My Fair Lady,2,2019,48,95,,,48,95.00
My First Mister,10,2001,27,48,81,53,108,51.75
My Life Without Me,9,2003,31,57,100,65,131,63.11
My Life in Ruins,6,2009,25,34,126,10,151,13.97
My Little Pony: The Movie,10,2017,13,39,67,48,80,46.54
My Old Lady,9,2014,19,52,93,62,112,60.30
My Sister's Keeper,6,2009,28,51,139,47,167,47.67
My Soul to Take,10,2010,13,25,64,11,77,13.36
My Super Ex-Girlfriend,7,2006,28,50,132,40,160,41.75
My Week with Marilyn,11,2011,38,65,,,38,65.00
Mystic River,10,2003,42,84,204,89,246,88.15
N-Secure,10,2010,,,5,20,5,20.00
Nacho Libre,6,2006,36,52,166,40,202,42.14
Nancy Drew,6,2007,,,138,50,138,50.00
Nanny McPhee,1,2006,,,,,0,0
Nanny McPhee Returns,8,2010,25,52,123,76,148,71.95
Napoleon,11,2023,62,64,333,57,395,58.10
Napoleon Dynamite,6,2004,36,64,175,72,211,70.64
Narc,12,2002,34,70,158,84,192,81.52
National Lampoon's Van Wilder,4,2002,24,26,98,18,122,19.57
National Treasure,11,2004,36,40,179,46,215,45.00
Nebraska,11,2013,46,86,254,91,300,90.23
Need for Speed,3,2014,38,39,185,23,223,25.73
Neighbors,5,2014,45,68,224,73,269,72.16
Neighbors 2: Sorority Rising,5,2016,39,58,206,64,245,63.04
Nerve,7,2016,33,58,144,67,177,65.32
Never Back Down,3,2008,22,39,84,21,106,24.74
Never Let Me Go,9,2010,37,69,187,71,224,70.67
New Year's Eve,12,2011,30,22,142,7,172,9.62
New York Minute,5,2004,32,33,118,11,150,15.69
New in Town,1,2009,32,29,173,28,205,28.16
Next,4,2007,23,42,131,28,154,30.09
Next Day Air,5,2009,20,46,66,21,86,26.81
Next Goal Wins,11,2023,42,44,165,45,207,44.80
Nick and Norah's Infinite Playlist,10,2008,32,64,187,75,219,73.39
Night School,9,2018,30,43,144,27,174,29.76
Night at the Museum,12,2006,28,48,139,42,167,43.01
Night at the Museum: Battle of the Smithsonian,5,2009,31,42,169,44,200,43.69
Night at the Museum: Secret of the Tomb,12,2014,33,47,113,48,146,47.77
Nightcrawler,10,2014,45,76,279,95,324,92.36
Nim's Island,4,2008,24,55,106,53,130,53.37
Nine,12,2009,33,49,208,39,241,40.37
Nine Lives,10,2005,25,80,87,76,112,76.89
