movie_name,month,year,critic_vote_metacritic,meta_score_metacritic,critic_vote_rotten,meta_score_rotten,critic_vote,meta_score
Alone Yet Not Alone,9,2013,,,,,0,0
Alone in the Dark,1,2005,,,121,1,121,1.00
Along Came Polly,1,2004,35,44,161,27,196,30.04
Along Came a Spider,4,2001,31,42,125,32,156,33.99
Alpha,8,2018,26,63,134,80,160,77.24
Alpha and Omega,9,2010,15,36,56,20,71,23.38
Alvin and the Chipmunks,12,2007,23,39,108,29,131,30.76
Alvin and the Chipmunks: Chipwrecked,12,2011,19,24,80,10,99,12.69
Alvin and the Chipmunks: The Road Chip,12,2015,21,33,67,15,88,19.30
Alvin and the Chipmunks: The Squeakquel,12,2009,20,41,85,21,105,24.81
Amelia,10,2009,34,37,162,19,196,22.12
America's Sweethearts,7,2001,32,44,147,33,179,34.97
American Assassin,9,2017,30,45,182,35,212,36.42
American Dreamz,4,2006,37,45,183,39,220,40.01
American Gangster,11,2007,38,76,217,81,255,80.25
American Hustle,12,2013,47,90,297,92,344,91.73
American Made,9,2017,50,65,270,85,320,81.88
American Outlaws,8,2001,26,25,102,13,128,15.44
American Pie 2,8,2001,28,43,126,51,154,49.55
American Psycho,10,2020,23,65,,,23,65.00
American Reunion,4,2012,34,49,186,45,220,45.62
American Sniper,12,2014,48,73,302,72,350,72.14
American Splendor,8,2003,42,90,187,94,229,93.27
American Ultra,8,2015,31,50,176,44,207,44.90
American Wedding,8,2003,34,43,155,53,189,51.20
Amigo,8,2011,,,,,0,0
Amores Perros,3,2001,,,,,0,0
Amour,12,2012,45,95,222,93,267,93.34
Am�lie,11,2001,32,70,,,32,70.00
An American Carol,10,2008,12,20,49,12,61,13.57
An American Haunting,5,2006,,,,,0,0
An Education,10,2009,34,85,199,93,233,91.83
An Everlasting Piece,12,2000,18,56,46,48,64,50.25
An Inconvenient Sequel: Truth to Power,7,2017,36,68,158,80,194,77.77
An Inconvenient Truth,5,2006,32,75,165,93,197,90.08
An Unfinished Life,9,2005,32,49,140,52,172,51.44
Anacondas: The Hunt for the Blood Orchid,8,2004,28,40,121,26,149,28.63
Analyze That,12,2002,34,37,149,26,183,28.04
Anchorman 2: The Legend Continues,2,2014,,,,,0,0
Anchorman: The Legend of Ron Burgundy,7,2004,38,63,203,66,241,65.53
And So It Goes,7,2014,31,38,88,18,119,23.21
Angel Eyes,5,2001,28,39,132,32,160,33.23
Angel Has Fallen,8,2019,33,45,190,38,223,39.04
Angels & Demons,5,2009,36,48,,,36,48.00
Anger Management,4,2003,39,52,191,42,230,43.70
Animal Kingdom,8,2010,33,83,163,94,196,92.15
Anna,6,2019,14,40,74,34,88,34.95
Anna Karenina,11,2012,41,63,193,63,234,63.00
Annabelle,10,2014,27,37,137,28,164,29.48
Annabelle Comes Home,6,2019,35,53,210,64,245,62.43
Annabelle: Creation,8,2017,29,62,191,70,220,68.95
Annie,12,2014,38,33,161,29,199,29.76
Annihilation,2,2018,51,79,331,88,382,86.80
Anomalisa,12,2015,46,88,276,91,322,90.57
Anonymous,10,2011,43,50,176,47,219,47.59
Another Year,12,2010,36,81,173,92,209,90.11
Ant-Man,7,2015,44,64,341,83,385,80.83
Ant-Man and the Wasp,7,2018,56,70,,,56,70.00
Ant-Man and the Wasp: Quantumania,2,2023,61,48,,,61,48.00
Antitrust,1,2001,29,31,106,24,135,25.50
Antwone Fisher,12,2002,32,62,148,78,180,75.16
Anyone But You,12,2023,26,52,108,54,134,53.61
Anything Else,9,2003,37,43,136,40,173,40.64
Apocalypto,12,2006,37,68,202,65,239,65.46
Apollo 18,9,2011,19,24,76,24,95,24.00
Appaloosa,9,2008,32,64,165,76,197,74.05
Aqua Teen Hunger Force Colon Movie Film for Theaters,4,2007,28,54,84,49,112,50.25
Aquaman,12,2018,50,55,414,65,464,63.92
Aquaman and the Lost Kingdom,12,2023,43,42,208,34,251,35.37
Aquamarine,3,2006,27,51,87,52,114,51.76
