movie_name,month,year,budget,runtime,mpaa,screens,opening_week,domestic_box_office,international_box_office,worldwide_box_office,country
Shingeki no kyojin endo obu za wârudo,9,2015,,87,Not,,,243356,14918255,15161611,Japan
Three,6,2016,,87,Not,23,58196,119550,15023705,15143255,"China, Hong Kong"
Paradaisu Kisu,,2011,,,,,,,15141014,15141014,Japan
La science des rêves,12,2006,6000000,105,R,14,347925,4670644,10467288,15137932,France
Io sono l’amore,9,2010,10000000,119,R,8,121504,5005465,10116063,15121528,Italy
Hwai: Goimooleul Samkin Ai,10,2013,,125,,,,,15119344,15119344,Republic of Korea
The Painted Veil,,2006,19400000,,PG-13,4,51085,8060487,7058308,15118795,United States
Pitbull: Niebezpieczne Kobiety,11,2016,,,,,,,15118739,15118739,Poland
Partners: The Movie IV,2,2017,,120,,,,,15104791,15104791,Japan
Soratobu taiya,6,2018,,120,,,,,15101476,15101476,Japan
Bhool Bhulaiyaa,,2007,,154,Not,55,512000,1097797,13992242,15090039,India
Paradise Murdered,,2007,,,,,,,15061334,15061334,Republic of Korea
Follow Bear to Adventure,1,2024,,,,,,,15054872,15054872,China
The Reef,,2010,10000000,,R,,,,15037867,15037867,Australia
The Pyramid,1,2015,,89,R,589,1369935,2756333,12274961,15031294,United States
Trick: The Movie 2,6,2006,,111,,,,,15016774,15016774,Japan
Perfect Days,11,2023,,,PG,6,100925,3576392,11434082,15010474,Japan
Snezhnaya koroleva 2,12,2014,,78,,,,,15002576,15002576,Russian Federation
Obitaemyy ostrov,,2009,36500000,,,,,,15000000,15000000,Russian Federation
Ek Main Aur Ekk Tu,,2012,,140,Not,111,637100,1155545,13822484,14978029,India
Solaris,,2002,47000000,105,PG-13,2406,6752722,14970038,,,United States
Recep Ivedik 6,11,2019,,110,,,,,14968633,14968633,Turkey
Matrimonio alle Bahamas,,2007,,,,,,,14964621,14964621,Italy
Chak De India,,2007,,148,Not,62,351887,1113541,13845785,14959326,India
Médecin de campagne,3,2016,,102,,,,,14953945,14953945,France
Love & Mercy,6,2015,,120,PG-13,481,2122177,12551031,2398877,14949908,United States
Zhōng Guó Pīng Pāng,1,2023,,140,,,,,14936608,14936608,China
Boat Trip,,2003,15000000,94,R,1714,3815075,8586376,6347337,14933713,
The Vatican Tapes,7,2015,13000000,91,PG-13,427,832271,1784763,13144421,14929184,United States
Baarìa,,2011,,,,,,,14924887,14924887,Italy
Cui mian · cai jue,10,2019,,93,,,,,14917516,14917516,"China, Hong Kong"
Emperor,4,2013,,106,PG-13,261,1014099,3346264,11559205,14905469,"Japan, United States"
Jue Shi Gao Shou,7,2017,,116,,,,,14897163,14897163,China
L'école buissonnière,10,2017,,116,Not,,,6300,14874207,14880507,France
The Game Changer,1,2017,,126,,,,,14875966,14875966,China
Nicky Larson: Le Parfum De Cupidon,2,2019,,91,,,,,14866890,14866890,France
Dogville,,2004,,177,R,9,88855,1530386,13321268,14851654,United States
Hollywood Ending,,2002,16000000,,PG-13,765,2017981,4839383,10000000,14839383,United States
Supernova,,2000,60000000,90,PG-13,2280,6731940,14218868,597626,14816494,United States
Flyboys,,2006,60000000,139,PG-13,2033,6004219,13090630,1725749,14816379,United States
Raise Your Voice,12,2004,15000000,107,PG,2521,4022693,10411980,4400000,14811980,United States
A Dangerous Method,,2011,20000000,99,R,4,167953,5702083,9105448,14807531,"Canada, Germany"
Possession,,2002,25000000,102,PG-13,270,1575214,10103647,4702165,14805812,
Going by the Book,,2007,,102,,,,,14800000,14800000,Republic of Korea
Xing Fu Ma Shang Lai,6,2018,,90,,,,,14798770,14798770,China
Out Cold,8,2002,11000000,89,PG-13,2011,4531665,13906394,880000,14786394,United States
Inherent Vice,1,2015,20000000,148,R,5,328184,8110975,6629368,14740343,United States
Les Émotifs anonymes,4,2012,,,,,,,14730786,14730786,"Belgium, France"
I Hate Luv Storys,,2010,,,Not,84,375297,847993,13872571,14720564,India
Zarafa,10,2012,9100000,78,,,,,14709816,14709816,"Belgium, France"
Deutschland: Ein Sommermarchen,,2006,,110,,,,,14700000,14700000,Germany
Khiladi 786,12,2012,5600000,,Not,,,385422,14298341,14683763,India
Iron Monkey,,2001,,85,PG-13,1225,6014653,14681661,,,Hong Kong
Case départ,,2011,,,,,,,14679847,14679847,France
Marina Abramovic: The Artist Is Present,10,2012,,106,Not,2,11041,86637,14576364,14663001,United States
"Hello, My Name is Doris",5,2016,1000000,90,R,4,84986,14444999,217704,14662703,United States
Thank You,,2011,,155,Not,92,244183,463540,14196505,14660045,India
Blood-Soaked GuangChang,7,2018,,,,,,,14651659,14651659,China
Freedomland,,2006,,113,R,2361,5833562,12512886,2138330,14651216,United States
The Sisters Brothers,9,2018,38000000,121,R,4,115575,3143056,11493011,14636067,"France, Romania, Spain, United States"
Sword Master,12,2016,,105,Not,29,40113,75526,14555037,14630563,China
Do You Believe?,3,2015,2300000,115,PG-13,1320,3591282,12985600,1643321,14628921,United States
The Beauty Inside,8,2015,,127,Not,1,1234,108238,14517521,14625759,Republic of Korea
Beyond the Lights,,2014,7000000,116,PG-13,1789,6200284,14618727,,,United States
Birth,4,2005,20000000,96,R,550,1705577,5005899,9597102,14603001,
High & Low: The Movie,7,2016,,129,,,,,14590783,14590783,Japan
Enfin Veuve,,2008,,,,,,,14580557,14580557,France
Naeaneui Geunom,1,2019,,122,,,,,14569310,14569310,Republic of Korea
Envy,,2004,20000000,99,PG-13,2445,6160886,13548322,1017924,14566246,United States
Cilada.com,7,2011,,,,,,,14563149,14563149,Brazil
Soul Plane,11,2004,16000000,86,R,1566,5648486,13922211,631596,14553807,
The Salt of the Earth,10,2014,,109,PG-13,4,44936,1343349,13199926,14543275,"Brazil, France, Italy"
¿Qué Culpa Tiene el Niño?,5,2016,,105,,,,,14536144,14536144,Mexico
"Mune, le gardien de la lune",2,2015,17000000,85,PG,,,,14534046,14534046,France
Deux jours à Paris,,2007,,96,R,10,173641,4433994,10087671,14521665,"France, Germany"
Red Lights,,2012,17700000,118,R,2,10340,49521,14469363,14518884,United States
Wadjda,12,2012,,98,PG,3,41253,1342455,13162647,14505102,Saudi Arabia
Welcome to Mooseport,4,2004,26000000,110,PG-13,2868,6775132,14469428,25342,14494770,"Germany, United States"
Haha to Kuraseba,12,2015,,130,,,,,14489836,14489836,Japan
Journey to the South Pacific,,2013,,40,G,,,7144210,7340963,14485173,United States
Megan Leavey,8,2017,,116,PG-13,1956,3810867,13406304,1058534,14464838,United States
Pattaya,2,2016,,100,,,,,14452133,14452133,"France, Thailand"
Being Julia,3,2005,18000000,104,R,8,101126,7739049,6712273,14451322,
"Life, or Something Like It",,2002,40000000,104,PG-13,2604,6219234,14448589,,,United States
Mayakwang,12,2018,,139,Not,,,,14446477,14446477,Republic of Korea
RBG,5,2018,,97,PG,34,578470,14051361,394210,14445571,United States
America: Imagine a World Without Her,,2014,,103,PG-13,3,38608,14444502,,,United States
Maria Full of Grace,3,2005,3200000,101,R,7,139066,6529624,7911534,14441158,United States
The Chosen: Season 4 Episodes 1-3,2,2024,,207,,2281,,14409169,,,United States
Los ojos de Julia,,2011,,,,,,,14404529,14404529,Spain
Woodlawn,7,2016,13000000,123,PG,1553,4002226,14394097,9794,14403891,United States
Botoks,9,2017,,135,,,,,14396860,14396860,Poland
Männersache,,2009,,,,,,,14378901,14378901,Germany
Hot Rod,11,2020,25000000,88,PG-13,2607,5310711,13938332,433232,14371564,United States
Ratchet and Clank,4,2016,20000000,94,PG,2891,4869278,8813410,5552229,14365639,United States
Un sac de billes,1,2017,20000000,113,PG,4,14420,409862,13952181,14362043,"Canada, Czech Republic, France"
Friends with Kids,5,2012,,100,R,369,2019083,7251073,7106679,14357752,United States
"Boku wa Ashita, Kinou no Kimi to Dêto Suru",12,2016,,111,,,,,14352012,14352012,Japan
Eighth Grade,12,2018,2000000,93,R,4,263797,13539710,808310,14348020,United States
Dostana,,2008,,142,Not,74,645604,1235028,13097631,14332659,India
Surviving Christmas,,2004,,,PG-13,2750,4441356,11198345,3130468,14328813,
Turistas,,2006,10000000,93,R,1570,3582554,7027762,7293308,14321070,United States
Tropa de Elite,,2008,6537890,,R,1,3604,8744,14310451,14319195,Brazil
Beginners,,2011,3200000,105,R,5,141340,5790894,8523513,14314407,United States
Josie and the Pussycats,6,2001,22000000,99,PG-13,2556,4562455,14252830,54393,14307223,United States
On His Majesty's Secret Service,,2009,,,,,,,14303209,14303209,Hong Kong
Unsane,3,2018,1500000,98,R,2023,3762145,7690044,6606665,14296709,United States
Ballistic: Ecks vs. Sever,,2002,70000000,91,R,2705,7010474,14294842,,,
I Dreamed of Africa,,2000,34000000,114,PG-13,2112,2411445,6543194,7748805,14291999,United States
Cheonbaksa Toema Yeonguso Seolgyeongui Bimil,9,2023,,98,,28,27755,84362,14196057,14280419,Republic of Korea
45 Years,8,2015,,95,R,3,65775,4250507,10025087,14275594,United Kingdom
Dirty Dancing Havana Nights,5,2004,,86,PG-13,2042,5811325,14140215,123084,14263299,United States
Sukkar banat,,2008,1600000,95,PG,11,71916,1060591,13193169,14253760,"France, Lebanon"
Freddy Got Fingered,,2001,15000000,87,R,2271,7098459,14249005,,,
Si yo fuera rico,11,2019,,98,,,,,14240702,14240702,Spain
Mere Brother Ki Dulhan,,2011,,145,Not,74,399429,496172,13737077,14233249,India
Bibi & Tina: Mädchen gegen Jungs,1,2016,,110,,,,,14223864,14223864,Germany
Gambit,11,2012,,,PG-13,,,,14214365,14214365,United States
If You Are the One 3,12,2023,,,,,,,14203359,14203359,China
Labor Day,3,2014,18000000,111,PG-13,2584,5175282,13371528,818282,14189810,United States
Tri Bogatyrya i Printsessa Egipta,12,2017,,75,,,,,14184772,14184772,Russian Federation
La vie scolaire,8,2019,,111,,,,,14178920,14178920,France
This Must Be the Place,3,2012,,118,R,2,7754,142242,14034415,14176657,"France, Ireland, Italy"
Ocho Apellidos Marroquís,12,2023,,,,,,,14168957,14168957,Spain
Drôles de petites bêtes,12,2017,,77,PG,,,,14163162,14163162,"France, Luxembourg"
La belle époque,7,2019,,110,R,,,,14162451,14162451,France
If We Were Lucky,9,2023,,92,,,,,14162404,14162404,China
Dirty Pretty Things,6,2004,10000000,97,R,5,100512,8112414,6044339,14156753,
Ya Veremos,8,2018,,90,PG-13,369,1807322,4165949,9975555,14141504,Mexico
In the Land of Women,,2007,10500000,97,PG-13,2155,4712341,11052958,3087444,14140402,United States
How to Deal,11,2003,16000000,101,PG-13,2319,5809960,14108518,16998,14125516,United States
Little Children,,2006,14000000,,R,5,97953,5463019,8658158,14121177,United States
Der Nanny,3,2015,,110,,,,,14113845,14113845,Germany
Taegeugki: Hwinalrimyeo,2,2004,,148,,,,,14080854,14080854,Republic of Korea
Gegen die Wand,3,2004,,121,Not,2,15216,435395,13625459,14060854,"Germany, Turkey"
Traumfrauen,2,2015,,109,,,,,14057701,14057701,Germany
Brice 3,10,2016,,93,,,,,14039310,14039310,France
Shootout at Wadala,5,2013,,155,Not,,,369310,13669350,14038660,India
The Children Act,8,2018,,105,R,3,18293,457803,13577789,14035592,"United Kingdom, United States"
Sharks 3D,5,2005,,42,Not,,,8500000,5500000,14000000,France
Shu dan ying xiong,8,2019,,106,,,,,13994187,13994187,China
Stealing Harvard,,2002,25000000,85,PG-13,2366,6041521,13973532,,,
Hong men yan,,2012,,138,,,,,13969132,13969132,China
"Cheonmun: Modneunda, Doors to Heaven",12,2019,,132,,,,,13955219,13955219,Republic of Korea
Los amantes pasajeros,1,2022,,89,R,5,97328,1359796,12578884,13938680,Spain
100 Dinge,12,2018,,111,,,,,13937010,13937010,Germany
Kalank,4,2019,,166,Not,320,1276581,2729336,11203094,13932430,India
Bursting Point,12,2023,,138,,,,,13927093,13927093,"China, Hong Kong"
Waltz with Bashir,,2008,2000000,87,R,5,50021,2283849,11628440,13912289,"France, Germany, Israel"
The Missing,3,2017,,95,,,,,13887720,13887720,China
Sophie Scholl - Die letzten Tage,,2006,,,Not,1,17310,680331,13206868,13887199,Germany
Religulous,,2008,2500000,101,R,502,3409643,13011160,870157,13881317,United States
Shen Mo Dao Ji Gong,11,2017,,90,,,,,13867066,13867066,China
House of the Dead,,2003,7000000,90,R,1520,5683280,10199354,3660724,13860078,
Seven Days,,2007,,,,,,,13857860,13857860,Republic of Korea
"Angus, Thongs and Perfect Snogging",7,2008,,,PG-13,,,,13835569,13835569,United Kingdom
Vykrutasy,,2010,,,,,,,13835287,13835287,Russian Federation
Beyond the Clouds,11,2023,,,,,,,13829490,13829490,China
Tri bogatyrya i Morskoy tsar,12,2016,,,,,,,13816096,13816096,Russian Federation
Their Finest,3,2017,,117,R,4,76197,3603484,10203605,13807089,United Kingdom
In the Mood for Love,9,2000,,98,PG,6,113280,2734044,11041999,13776043,
Juwanna Mann,,2002,15600000,91,PG-13,1325,5474270,13571817,200000,13771817,United States
Rudorufu to Ippaiattena,8,2016,,90,,,,,13770279,13770279,Japan
I am a Hero,4,2016,,126,,,,,13756682,13756682,Japan
Wanted,,2009,,147,Not,71,217432,349637,13404086,13753723,India
Io sono Tempesta,4,2018,,97,Not,,,,13748817,13748817,Italy
Strange Magic,8,2015,,99,PG,3020,5504441,12429583,1311760,13741343,United States
Wonder Wheel,12,2017,,101,PG-13,5,125570,1403237,12333635,13736872,United States
Pulling Strings,11,2013,,112,PG,387,2467168,5842961,7882858,13725819,Mexico
One Night with the King,,2006,20000000,123,PG,909,4106862,13395961,329071,13725032,United States
The Ladies Man,,2000,11000000,87,R,2022,5426390,13592872,126602,13719474,United States
Yolki 5,12,2016,,88,,,,,13716383,13716383,Russian Federation
Too Young to Die,6,2016,,125,,,,,13699654,13699654,Japan
Hey Arnold! The Movie,,2002,10000000,75,PG,2527,5706332,13684949,,,
Chihayafuru: Musubi,3,2018,,,,,,,13649091,13649091,Japan
Aarakshan,,2011,,135,Not,91,344661,651096,12992412,13643508,India
Sydney White,,2007,16500000,108,PG-13,2104,5196380,11892415,1743924,13636339,United States
American Outlaws,,2001,35000000,95,PG-13,2348,4855475,13264986,336123,13601109,United States
Toshokan Sensoi The Last Mission,10,2015,,,,,,,13597694,13597694,Japan
Osmosis Jones,,2001,70000000,95,PG,2305,5271248,13596911,,,United States
Redemption,6,2013,23000000,100,R,19,19768,36686,13556787,13593473,"United Kingdom, United States"
Bakuman,10,2015,,,,,,,13584054,13584054,Japan
Torrente 5. Operación Eurovegas,10,2014,,,,,,,13580332,13580332,Spain
Oneului yeonae,1,2015,,118,,,,,13576426,13576426,Republic of Korea
Plastic Planet,5,2012,,99,Not,1,740,3164,13565535,13568699,"Austria, Germany"
Retribution,8,2023,,90,R,1750,3518830,6937696,6626505,13564201,"France, Germany, Spain, United States"
The Little Vampire,10,2000,22000000,95,PG,2009,5719627,13555988,4794,13560782,Germany
Tomcats,,2001,11000000,95,R,2617,6406076,13558739,,,United States
Dabangg 3,12,2019,,163,Not,14,,535000,13018861,13553861,India
bbaengban,1,2019,,133,,,,,13551495,13551495,Republic of Korea
Ikari,9,2016,,,,,,,13540842,13540842,Japan
The Comebacks,,2007,,84,PG-13,2812,5554594,13349927,189227,13539154,United States
Hazlo Como Hombre,8,2017,,109,R,382,1174484,2534252,10984231,13518483,Chile
His Only Son,3,2023,250000,106,PG-13,1920,5501070,12084084,1422631,13506715,United States
Nomoohyeonibnida,5,2017,,109,,,,,13502122,13502122,Republic of Korea
Phantom of the Theater,4,2016,,103,Not,,,,13482888,13482888,"China, Hong Kong"
Listy do M. 2,11,2015,,103,,,,,13482509,13482509,Poland
Le Havre,12,2011,5500000,93,Not,6,26363,611709,12868487,13480196,"Finland, France"
Mientras dure la guerra,9,2019,,107,,,,,13475475,13475475,"Argentina, Spain"
Thirst,4,2009,,,R,4,55889,318574,13150377,13468951,Republic of Korea
Los tres entierros de Melquiades Estrada,,2005,15000000,121,R,5,23859,5027684,8426790,13454474,United States
The History Boys,,2006,3700000,112,R,7,100803,2730296,10717702,13447998,United Kingdom
Chasseurs de dragons,,2009,17000000,,PG-13,,,,13446115,13446115,"France, Germany, Luxembourg"
One Night at McCool's,,2001,,,R,1818,2520041,6276532,7165425,13441957,United States
Beul-la-in-deu,,2011,,111,,,,,13439098,13439098,Republic of Korea
Tenacious D in: The Pick of Destiny,,2006,,94,R,1919,3234879,8334575,5100000,13434575,United States
Brideshead Revisited,,2008,,133,PG-13,33,339616,6432256,7000000,13432256,"Ireland, Morocco, United Kingdom"
Lords of Dogtown,,2005,25000000,107,PG-13,1865,5623373,11273517,2150848,13424365,United States
Sandome no satsujin,9,2017,,124,Not,2,10670,89315,13322503,13411818,Japan
Tomorrow When the War Began,,2012,,103,R,10,3172,4936,13400000,13404936,Australia
Remember Me,3,2024,,116,,,,,13402906,13402906,China
Xin Da Tou Er Zi He Xiao Tou Ba Ba Zhi Yi Ri Cheng Cai,8,2016,,85,,,,,13375370,13375370,China
Three Identical Strangers,8,2018,,96,PG-13,5,171503,12320845,1047103,13367948,United Kingdom
Vera Drake,2,2005,11000000,125,R,2,13207,3753806,9600049,13353855,
Gyoseob,1,2023,,108,,,,,13328013,13328013,Republic of Korea
A Stork's Journey,2,2017,,85,PG,,,,13325206,13325206,"Belgium, Germany, Luxembourg, Norway, United States"
Hotel Artemis,6,2018,15000000,97,R,2407,3232790,6708137,6608490,13316627,United Kingdom
Trumbo,12,2015,15000000,124,R,5,74177,7857741,5442440,13300181,United States
Die Wilden Kerle 5,,2008,,,,,,,13300000,13300000,Germany
La Cage Doree,4,2013,,90,,,,,13300000,13300000,"France, Portugal"
The Way,4,2012,,115,PG-13,33,110418,4998213,8296624,13294837,"Spain, United States"
FearDotCom,6,2003,40000000,101,R,2550,5710128,13208023,81267,13289290,
The Pirates Who Don't Do Anything: A VeggieTales Movie,,2008,15000000,85,G,1337,4251320,12981269,267175,13248444,United States
In the Name of the King: A Dungeon Siege Tale,,2008,60000000,127,PG-13,1632,2984524,4775656,8457564,13233220,"Germany, United Kingdom, United States"
Unfinished Business,3,2015,35000000,91,R,2777,4772613,10219501,2994550,13214051,United States
I Think I Love My Wife,,2007,14000000,94,R,1776,5674802,12559771,645640,13205411,United States
Hanyo,,2011,,106,Not,2,16670,157961,13047269,13205230,Republic of Korea
Anything Else,,2003,18000000,,R,1033,1673125,3203044,10000000,13203044,
Trener,4,2018,6250000,138,,,,,13201162,13201162,Russian Federation
Le Jeu,10,2018,,90,,,,,13189052,13189052,"Belgium, France"
Chloe,11,2012,13000000,96,R,350,900688,3075255,10101357,13176612,"Canada, France, United States"
The Honeymooners,,2005,27000000,90,PG-13,1912,5538835,12834849,339577,13174426,United States
Akmareul Boatda,,2011,6000000,143,Not,2,13567,129210,13039599,13168809,Republic of Korea
Bai niao chao feng,5,2016,,110,,,,,13160000,13160000,China
Thirst,4,2009,,91,R,,,,13159201,13159201,Canada
Dad’s Army,2,2016,,100,,,,,13152386,13152386,United Kingdom
"Misz masz, czyli kogel-mogel 3",1,2019,,100,,,,,13133367,13133367,Poland
Maundy Thursday,,2006,,,,,,,13117555,13117555,Republic of Korea
Macbeth,9,2015,,110,R,5,69833,1110707,11993600,13104307,"France, United Kingdom, United States"
Kobiety Mafii,2,2018,,138,,,,,13100948,13100948,Poland
The Movie Emperor,2,2024,,,,,,,13100097,13100097,China
Hillary’s America: The Secret History of the Democratic Party,,2016,5000000,100,PG-13,3,74813,13099931,,,United States
How to Eat Fried Worms,,2006,,84,PG,1870,4003537,13040527,58469,13098996,United States
Welcome to Marwen,1,2019,45000000,116,PG-13,1911,2354205,10763520,2322617,13086137,United States
Saraba Abunai Deka: Long Goodbye,1,2016,,,,,,,13074758,13074758,Japan
The Way of the Gun,,2000,9000000,119,R,1515,2150979,6047856,7014079,13061935,
Student of the Year,10,2012,,146,Not,106,326508,326508,12702974,13029482,India
The Crew,,2000,23000000,,PG-13,1510,4051921,13019253,,,United States
Serenity,1,2019,25000000,103,R,2561,4415403,8547045,4461759,13008804,United States
Da Hu Fa,7,2017,,95,,,,,13006233,13006233,China
Bring the Soul: The Movie,8,2019,,103,Not,873,2296491,4809800,8181232,12991032,Republic of Korea
Le Divorce,,2003,,,PG-13,34,516834,9074550,3910939,12985489,
Confidence,7,2003,15000000,97,R,1871,4563588,12212417,757984,12970401,"Canada, Germany, United States"
Bandslam,,2009,20000000,111,PG,2121,2231273,5210988,7756841,12967829,United States
Bottoms,11,2023,,,R,10,461052,12036071,931498,12967569,United States
"Roman J. Israel, Esq.",1,2018,22000000,129,PG-13,4,61999,11962712,1004300,12967012,United States
Friend Zone,8,2019,,118,Not,,,,12964399,12964399,Thailand
The Green Inferno,9,2015,1000000,103,R,1540,3520626,7192291,5739129,12931420,United States
Slither,,2006,15250000,96,R,1945,3880270,7802450,5127893,12930343,United States
Gods and Generals,,2003,55000000,219,PG-13,1533,4675246,12882934,41002,12923936,
Die Kleine Hexe,2,2018,,103,,,,,12923668,12923668,"Germany, Switzerland"
Byeonsin,8,2019,,113,,,,,12912361,12912361,Republic of Korea
Los abrazos rotos,3,2021,,128,R,2,107111,5014305,7896055,12910360,Spain
Three Heroes: Horseback,1,2015,,75,,,,,12909250,12909250,Russian Federation
The Other Side of the Door,2,2016,5000000,96,R,546,1211210,3000342,9904765,12905107,"India, United Kingdom"
Searching for Sugar Man,7,2012,,85,PG-13,3,27459,3965090,8937411,12902501,United States
Seondal: The Man who Sells the River,6,2016,,121,Not,7,36415,97223,12804849,12902072,Republic of Korea
Loving,1,2017,9000000,123,PG-13,4,159615,7710234,5187830,12898064,United States
Campeonex,8,2023,,,,,,,12888231,12888231,Spain
Evening,,2007,30000000,117,PG-13,977,3501971,12406646,478928,12885574,United States
Lo dejo cuando a quiera,4,2019,,98,,,,,12880024,12880024,Spain
Animal Crackers,7,2018,,94,PG,,,,12877422,12877422,"Australia, China, Republic of Korea, United States"
The Current War: Director’s Cut,7,2019,30000000,105,PG-13,1022,2633717,5978673,6891082,12869755,United States
Mubarakan,7,2017,,156,PG-13,128,310170,758868,12108269,12867137,India
Ozzy,3,2016,,90,"G
(Rating",,,,12852439,12852439,"Canada, Spain"
Deception,,2008,25000000,108,R,2001,2312146,4598506,8251527,12850033,United States
Promare,5,2019,,111,PG-13,31,109085,2528913,10316998,12845911,Japan
Hot Tub Time Machine 2,3,2015,14000000,93,R,2880,5963324,12314651,511993,12826644,United States
Every Day,2,2018,4900000,95,PG-13,1667,3016149,6112914,6713117,12826031,United States
Agent Vinod,,2012,,152,Not,,,698210,12124675,12822885,India
Crayon Shin-chan Arashi wo Yobu Ougon no Spy Daisakusen,,2011,,,,,,,12801345,12801345,Japan
Highlander: Endgame,,2000,15000000,88,R,1543,6223330,12801190,,,United States
Tri Bogatyrya i pup zemli,12,2023,,,,,,,12799769,12799769,Russian Federation
Urmel aus dem Eis,,2006,,87,,,,,12799144,12799144,
Boolhandang: Nabbeun Nomdeului Sesang,5,2017,,120,,,,,12776724,12776724,Republic of Korea
L'élève Ducobu,,2011,,,,,,,12767508,12767508,France
Aliens of the Deep,2,2005,,47,G,27,479368,8968684,3797000,12765684,United States
Gekijoban Mahou Shojo Madoka Magica Shinpen Hangyoku no Monogatari,3,2018,,116,Not,39,190478,190478,12571570,12762048,Japan
"Bon Cop, Bad Cop",,2006,8000000,,Not,,,12671300,69405,12740705,
Fasandræberne,4,2015,,119,,,,,12702595,12702595,"Denmark, Germany, Sweden"
Idlewild,,2006,15000000,121,R,973,5745780,12669914,,,United States
Donne moi des ailes,10,2019,,113,,,,,12669555,12669555,"France, Norway"
Street Fighter: The Legend of Chun-Li,,2009,50000000,96,PG-13,1136,4721110,8742261,3918026,12660287,United States
Chasing Papi,,2003,9000000,80,PG,585,2404557,6126237,6531140,12657377,
Sing Street,3,2016,,100,PG-13,5,63573,3237118,9419954,12657072,Ireland
Last Night,,2011,,92,R,10,32000,112087,12534432,12646519,"Canada, France, United States"
Kiseijuu: Kanketsuhen,4,2015,,117,,,,,12640766,12640766,Japan
Le chant du loup,2,2019,,115,Not,,,,12639190,12639190,France
Extreme Ops,5,2003,40000000,93,PG-13,1800,2233525,4835968,7788503,12624471,"Germany, Luxembourg, United Kingdom"
People Like Us,8,2012,16000000,115,PG-13,2055,4255423,12431792,185680,12617472,United States
Ben is Back,12,2018,13000000,103,R,4,80733,3703182,8913813,12616995,United States
A Love,,2007,,,,,,,12592135,12592135,Republic of Korea
Gossip,,2000,14000000,90,R,1525,2321729,5108820,7482450,12591270,
Ma-dang-eul Na-on Am-talk,7,2011,,93,,,,,12588013,12588013,Republic of Korea
Bachelorette,9,2012,3000000,93,R,47,181494,446770,12130631,12577401,United States
Jim Knopf und Lukas der Lokomotivführer,3,2018,,,,,,,12577248,12577248,Germany
Red Joan,10,2018,,110,R,4,,1580223,10972142,12552365,United Kingdom
The Suspect,12,2013,,137,,,,,12525348,12525348,United States
Can You Ever Forgive Me?,12,2018,10000000,106,R,5,161510,8803865,3713514,12517379,United States
Sorority Boys,,2002,12000000,93,R,1801,4127903,10198766,2317456,12516222,
Breakin' All the Rules,,2004,9000000,85,PG-13,1318,5088577,12232382,279935,12512317,United States
Zoom,,2006,35000000,,PG,2501,4510408,11989328,516860,12506188,
Sous les jupes des filles,6,2014,,,,,,,12499035,12499035,France
Meri Pyaari Bindu,5,2017,,119,Not,,,,12498298,12498298,India
PMC: deo beong-keo,12,2018,10300000,119,Not,,,,12478635,12478635,Republic of Korea
Kamen Raidâ Heisei Jenerêshonzu Foebâ,12,2018,,100,,,,,12465928,12465928,Japan
Cinderella and The Secret Prince,8,2018,,90,PG,,,,12451311,12451311,"China, United States"
Material Girls,,2006,,98,PG,1509,4603121,11449638,1000000,12449638,United States
Kai Po Che,2,2013,,120,Not,110,522765,1122527,11310288,12432815,India
Boy s tenyu 2,,2007,,,,,,,12426015,12426015,Russian Federation
Knockaround Guys,3,2003,15000000,92,R,1806,5016852,11660180,759520,12419700,United States
Bad Lieutenant: Port of Call New Orleans,,2009,25000000,122,R,27,245398,1702112,10711837,12413949,United States
Nueve Reinas,8,2000,1500000,114,R,5,40724,1222889,11190000,12412889,Argentina
The Bling Ring,8,2013,,90,R,5,214395,5845732,6561759,12407491,United States
Bella,,2007,3300000,91,PG-13,165,1328448,8093373,4312100,12405473,United States
MBA Partners,4,2016,,101,,,,,12403537,12403537,China
Mambo Italiano,,2003,5500000,88,R,,,9282750,3117022,12399772,Canada
Undisputed,,2002,20000000,93,R,1102,4548750,12398628,,,
I’m Not There,5,2008,20000000,135,R,130,730819,4017609,8380004,12397613,"Germany, United States"
Promised Land,,2013,15000000,106,R,25,173915,7597898,4796664,12394562,United States
The Man Who Knew Infinity,3,2016,10000000,108,PG-13,6,80325,3877922,8504200,12382122,"India, United Kingdom"
Shaolin Girl,,2008,,,,,,,12380512,12380512,"Hong Kong, Japan"
Ready to Rumble,,2000,24000000,107,PG-13,2585,5257778,12372410,,,United States
Soul Men,,2008,40000000,103,R,2044,5401605,12082391,263492,12345883,United States
The Interview,1,2015,44000000,111,R,,,6105175,6237457,12342632,United States
Millions,,2005,,98,PG-13,5,70224,6584159,5753669,12337828,United Kingdom
Eye for an Eye,,2008,,101,R,,,,12314832,12314832,Republic of Korea
Gu Dao Jing Hun,,2011,,,,,,,12312603,12312603,China
Chasing Liberty,,2004,23000000,111,PG-13,2400,6081483,12189514,102461,12291975,"United Kingdom, United States"
"Titeuf, Le Film",,2011,,,,,,,12268517,12268517,"France, Switzerland"
My Life Without Me,7,2004,2500000,106,R,7,40515,432360,11834915,12267275,"Canada, Spain"
Article 370,2,2024,,,,161,326458,980649,11281510,12262159,India
Dark Blue,7,2003,15000000,118,R,2176,3880688,9237470,3024595,12262065,
Whiteout,,2009,35000000,101,R,2745,4915104,10275638,1979108,12254746,"Canada, France, United States"
Lejdis,,2008,,,,,,,12247829,12247829,Poland
