movie_name,month,year,budget,runtime,mpaa,screens,opening_week,domestic_box_office,international_box_office,worldwide_box_office,country
Ballon,9,2018,,125,Not,,,34222,9750522,9784744,Germany
The War of Loong,8,2017,,112,,,,,9782949,9782949,China
Ivan Tsarevich i Seryy Volk 3,1,2016,,76,,,,,9775063,9775063,Russian Federation
The Rise of a Tomboy,3,2016,,,,,,,9769582,9769582,China
Organize İşler Sazan Sarmalı,2,2019,,121,,,,,9767814,9767814,Turkey
Serge Gainsbourg vie heroique,,2011,,122,Not,3,25189,233007,9532354,9765361,France
The Great Escaper,10,2023,,,,,,,9761471,9761471,United Kingdom
Il a déjà tes yeux,1,2017,,95,,,,,9755458,9755458,France
Planeta Singli,2,2016,,136,,,,,9740728,9740728,Poland
Il racconto dei racconti,5,2015,,125,R,2,8871,102186,9632328,9734514,"France, Italy, United Kingdom"
Running Scared,,2006,17000000,122,R,1611,3381974,6855137,2873951,9729088,United States
"New York, I Love You",,2009,,103,R,119,380776,1588087,8136973,9725060,United States
The Hole 3D,,2012,,92,,,,,9716671,9716671,United States
Yugo & Lala 3,7,2016,,82,,,,,9714846,9714846,China
Chîmu bachisuta no eikô,,2008,,,,,,,9710761,9710761,Japan
Gloria Bell,3,2019,,102,R,5,145218,5611123,4099394,9710517,"Chile, United States"
Saul fia,6,2015,1700000,107,R,3,37930,1777043,7919494,9696537,Hungary
Fortuna's Eye,2,2019,,,,,,,9693268,9693268,Japan
Horst Schlammer - Isch Kandidiere!,,2009,,,,,,,9692564,9692564,Germany
Vremya Pervyh,3,2017,,140,,,,,9690715,9690715,Russian Federation
Only You,7,2015,,113,Not,14,27311,61565,9622002,9683567,"China, United States"
Jerusalem,4,2014,,45,Not,,,8020721,1661254,9681975,Canada
S1m0ne,,2002,,117,PG-13,1920,3813463,9680913,,,United States
Goonghab,2,2018,,110,,,,,9680424,9680424,Republic of Korea
Miracle at St. Anna,,2008,45000000,160,R,1185,3477996,7916887,1759610,9676497,United States
Huān yuè xǐjù rén,3,2017,,87,,,,,9673821,9673821,China
Diner Dainâ,7,2019,,117,,,,,9673094,9673094,Japan
Winter in Wartime,11,2008,5800000,103,R,3,14037,542860,9119354,9662214,"Belgium, Netherlands"
Le mystère Henri Pick,3,2019,,100,,,,,9654932,9654932,"Belgium, France"
Connie and Carla,8,2004,20000000,108,PG-13,1014,3254940,8047525,1601514,9649039,United States
Young Black Stallion,4,2004,,45,G,51,629999,6751389,2887000,9638389,United States
Feng Zhong You Duo Yu Zuo De Yun,4,2019,,129,,,,,9626679,9626679,China
You zhong ni ai wo,1,2015,,105,,,,,9620000,9620000,China
Ride Like a Girl,9,2019,,98,PG,,,,9619183,9619183,Australia
I Am Not Your Negro,4,2017,1000000,95,PG-13,43,686378,7123919,2493483,9617402,United States
Me and You and Everyone We Know,,2005,2000000,91,R,1,30801,3885134,5730330,9615464,United States
Come tu mi vuoi,,2007,,107,,,,,9612073,9612073,Italy
Ladies in Black,9,2018,,109,PG,,,,9609199,9609199,Australia
Dyun Mong,3,2023,,,,,,,9605591,9605591,"China, Hong Kong"
Tod@s Caen,9,2019,,120,PG-13,317,1098401,2670925,6931656,9602581,Mexico
7 Days in Entebbe,3,2018,,107,PG-13,838,1592645,3189220,6407229,9596449,United Kingdom
High & Low: The Movie 3 - Final Mission,11,2017,,118,,,,,9591095,9591095,Japan
Chashme Baddoor,4,2013,,,Not,,,235401,9352544,9587945,India
Guzaarish,,2010,,135,Not,108,488121,1026589,8547136,9573725,India
Beuiaipi,8,2017,,128,,,,,9572938,9572938,Republic of Korea
Nichinichi Kore Kôjitsu,10,2018,,100,,,,,9572288,9572288,Japan
Rafadan Tayfa 4: Hayrimator,12,2023,,,,,,,9569414,9569414,Turkey
Monsieur Ibrahim,5,2004,,96,R,7,53174,2824365,6739202,9563567,France
Xi Yang Yang Yu Hui Tai Liang Zhi Yang Nian Xi Yang Yang,1,2015,,86,,,,,9562725,9562725,China
Traffik,4,2018,4000000,96,R,1046,3941338,9186156,375075,9561231,United States
God of War,5,2017,,128,Not,27,23912,53496,9506524,9560020,China
Popstar: Never Stop Never Stopping,8,2016,20000000,86,R,2311,4698715,9496130,40990,9537120,United States
Shade,,2004,6800000,101,R,1,10696,25032,9508932,9533964,United States
Hirunaka no ryuusei,3,2017,,119,,,,,9525643,9525643,Japan
All the King's Men,,2006,55000000,128,PG-13,1514,3672366,7221458,2300000,9521458,
Bajirao Mastani,12,2015,,158,Not,304,1741037,6557047,2959955,9517002,India
Open Season 2,,2009,,76,,,,,9510171,9510171,United States
Thirteen,3,2004,2000000,100,R,5,116260,4601043,4904953,9505996,"United Kingdom, United States"
Gekijoban Tokyo MER: Hashiru Kinkyuukyuumeishitsu,4,2023,,,,,,,9500000,9500000,Japan
Míng Yuè Jǐ Shí Yǒu,7,2017,,130,Not,18,50619,111584,9387872,9499456,"China, Hong Kong"
Rock'n Roll,2,2017,,123,,,,,9498348,9498348,France
L'Odyssée,10,2016,,122,PG,,,,9491587,9491587,"Belgium, France"
Minuscule - Les mandibules du bout du monde,2,2019,,92,,,,,9484078,9484078,"China, France"
Parlami d'amore,,2008,,,,,,,9482854,9482854,Italy
The Chosen: Season 4 Episodes 4-6,,2024,,,,2228,3622287,9482744,,,United States
Arrancame la Vida,,2008,,107,R,,,,9475906,9475906,Mexico
Mr. Perfect,,2011,,,,,,,9472240,9472240,India
The Station Agent,2,2004,500000,90,R,3,57785,5801558,3668651,9470209,United States
Andiamo a quel paese,11,2014,,90,,,,,9462298,9462298,Italy
Me Case con un Boludo,3,2016,,100,,,,,9460591,9460591,Argentina
Captivity,,2007,,85,R,1061,1429100,2686800,6772940,9459740,"Russian Federation, United States"
Otoko wa tsurai yo 50: Okaeri Tora-san,12,2019,,115,,,,,9459306,9459306,Japan
Ahora o nunca,6,2015,,,,,,,9456067,9456067,Spain
Snezhnaya koroleva. Zazerkale,12,2018,,87,,,,,9456027,9456027,Russian Federation
The Libertine,,2005,22000000,114,R,2,27804,4835065,4613558,9448623,"Australia, United Kingdom"
Belka i Strelka. Zvezdnye sobaki,3,2010,25000000,85,"G
(Rating",,,,9445081,9445081,Russian Federation
Ta Ra Rum Pum,,2007,7400000,,Not,85,425102,872643,8571221,9443864,"India, United States"
Veronica Guerin,7,2003,17000000,98,R,472,611276,1569918,7868156,9438074,"Ireland, United Kingdom, United States"
The Goldfinch,9,2019,40000000,149,R,2542,2679027,5332621,4097289,9429910,United States
Sleepover,10,2004,10000000,89,PG,2207,4171226,9408183,15869,9424052,United States
Secretary,5,2003,4000000,107,R,11,182306,4046737,5365278,9412015,United States
Adopte un veuf,4,2016,6400000,97,,,,,9394401,9394401,France
Mad Hot Ballroom,,2005,500000,,PG,2,45348,8117961,1269620,9387581,United States
Kidnapping Granny K,,2007,,,,,,,9386541,9386541,Republic of Korea
Osman Pazarlama,2,2016,,114,,,,,9385942,9385942,Turkey
Ernest et Celestine,12,2012,12500000,,Not,,,292562,9083882,9376444,France
Song of the Sea,5,2015,,94,PG,1,17967,857524,8514384,9371908,"Belgium, Denmark, France, Ireland, Luxembourg"
Incarnate,4,2024,5000000,86,PG-13,1737,2534884,4799774,4571262,9371036,United States
고死: 피의중간고사,,2008,,,,,,,9370310,9370310,Republic of Korea
Cave of Forgotten Dreams,4,2012,,90,"G
(Rating",5,139101,5304920,4064709,9369629,"Canada, France, Germany, United Kingdom, United States"
Amici come Prima,12,2018,,85,,,,,9367230,9367230,Italy
Captive State,3,2019,25000000,109,PG-13,2548,3131525,5958315,3404895,9363210,United States
Superbabies: Baby Geniuses 2,,2004,20000000,88,PG,1276,3251856,9109322,246047,9355369,
20th Century Women,2,2017,7000000,118,R,4,111200,5664763,3688966,9353729,United States
Martian Child,,2007,27000000,108,PG,2020,3376669,7500310,1851779,9352089,United States
Kisejuu: Part 1,1,2015,,109,,,,,9352004,9352004,Japan
Shi Dai Kuang Ren,3,2019,,90,,,,,9345649,9345649,China
